####################################################################################################
# Month: 09Sep                                                                                     #
# Station: KEN                                                                                     #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,09,1,0,0.2467414,63.52569
2009,09,1,1,0.2800734,70.14695
2009,09,1,2,0.309913,75.78079
2009,09,1,3,0.6234687,127.9304
2009,09,1,4,0.8761241,160.0576
2009,09,1,5,0.8190333,153.4398
2009,09,1,6,0.4561897,102.7922
2009,09,1,7,0.2323268,60.43007
2009,09,2,0,0.1928562,51.60691
2009,09,2,1,0.2107057,55.36494
2009,09,2,2,0.2883201,71.3171
2009,09,2,3,0.5771933,121.5374
2009,09,2,4,0.9222342,165.0926
2009,09,2,5,0.9709629,170.5283
2009,09,2,6,0.6205977,128.4407
2009,09,2,7,0.3898733,91.1071
2009,09,3,0,0.2964049,73.19831
2009,09,3,1,0.2394281,61.33868
2009,09,3,2,0.3012521,74.09455
2009,09,3,3,0.4765393,105.7749
2009,09,3,4,0.6423851,130.8997
2009,09,3,5,0.7019873,139.432
2009,09,3,6,0.2460028,63.19071
2009,09,3,7,0.1501852,42.24868
2009,09,4,0,0.180206,49.02865
2009,09,4,1,0.2199328,57.71138
2009,09,4,2,0.1826033,49.6179
2009,09,4,3,0.3403731,82.00354
2009,09,4,4,0.6732972,135.5928
2009,09,4,5,0.4987776,109.8528
2009,09,4,6,0.2611644,66.40937
2009,09,4,7,0.2300878,59.84115
2009,09,5,0,0.27714,69.37898
2009,09,5,1,0.3227655,78.27585
2009,09,5,2,0.2724845,68.41963
2009,09,5,3,0.3402918,81.67106
2009,09,5,4,0.5502014,117.5696
2009,09,5,5,0.5035347,110.4207
2009,09,5,6,0.2768642,69.60071
2009,09,5,7,0.2007556,53.47426
2009,09,6,0,0.2229506,58.16149
2009,09,6,1,0.2476957,63.27882
2009,09,6,2,0.2227427,58.00371
2009,09,6,3,0.359428,85.40425
2009,09,6,4,0.662774,133.9207
2009,09,6,5,0.9346331,167.3045
2009,09,6,6,0.7729251,149.2267
2009,09,6,7,0.4508076,102.1919
2009,09,7,0,0.3924876,91.70895
2009,09,7,1,0.3531065,84.35536
2009,09,7,2,0.3125159,76.55231
2009,09,7,3,0.6154925,127.5473
2009,09,7,4,0.7210248,141.7272
2009,09,7,5,0.8678503,159.967
2009,09,7,6,0.5792286,122.838
2009,09,7,7,0.2748372,69.44426
2009,09,8,0,0.2546562,64.94943
2009,09,8,1,0.2593417,65.90103
2009,09,8,2,0.2610659,66.32487
2009,09,8,3,0.4392562,99.80864
2009,09,8,4,0.7007787,138.7045
2009,09,8,5,0.781089,149.5295
2009,09,8,6,0.3290024,79.90724
2009,09,8,7,0.1618092,44.78768
2009,09,9,0,0.183789,49.58158
2009,09,9,1,0.2141494,56.30854
2009,09,9,2,0.2494187,63.84521
2009,09,9,3,0.4335149,98.62347
2009,09,9,4,0.650826,131.8587
2009,09,9,5,0.8268532,154.9026
2009,09,9,6,0.5366169,115.9518
2009,09,9,7,0.2572452,65.54144
2009,09,10,0,0.1759866,47.89365
2009,09,10,1,0.1487349,41.66549
2009,09,10,2,0.1625067,44.89945
2009,09,10,3,0.3077254,75.63518
2009,09,10,4,0.5707324,120.5469
2009,09,10,5,0.8481892,157.6136
2009,09,10,6,0.5464566,117.6482
2009,09,10,7,0.363602,86.57366
2009,09,11,0,0.3003966,74.35047
2009,09,11,1,0.248458,63.79574
2009,09,11,2,0.2363408,61.22326
2009,09,11,3,0.3736082,88.24514
2009,09,11,4,0.5621914,119.3169
2009,09,11,5,0.9248631,166.3849
2009,09,11,6,0.6581906,134.3841
2009,09,11,7,0.4072125,94.98638
2009,09,12,0,0.4019031,93.96364
2009,09,12,1,0.4056647,94.55196
2009,09,12,2,0.3737544,88.61815
2009,09,12,3,0.7489132,146.2161
2009,09,12,4,1.079844,181.5325
2009,09,12,5,1.027157,176.7959
2009,09,12,6,0.7194416,142.5397
2009,09,12,7,0.4382431,100.3679
2009,09,13,0,0.4126321,95.61529
2009,09,13,1,0.4928422,109.0606
2009,09,13,2,0.4696555,105.1708
2009,09,13,3,0.6406515,131.3632
2009,09,13,4,0.8903783,162.2171
2009,09,13,5,0.9344433,167.2884
2009,09,13,6,0.7049638,140.42
