####################################################################################################
# Month: 07Jul                                                                                     #
# Station: KVNYS                                                                                   #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,07,1,2.69077025,264.9688
2009,07,2,2.61023188,261.991575
2009,07,3,2.53354275,261.2373625
2009,07,4,2.46807012,260.42945
2009,07,5,2.529162,264.2191125
2009,07,6,2.79171738,270.0290375
2009,07,7,2.55290925,264.7849
2009,07,8,2.82975212,269.0034875
2009,07,9,3.11636225,262.7485875
2009,07,10,1.98951175,245.5964625
2009,07,11,2.47769187,251.3401875
2009,07,12,4.09226888,283.1203875
2009,07,13,3.90448775,280.8463625
2009,07,14,4.17088788,280.7188625
2009,07,15,2.61684288,267.0114375
2009,07,16,2.30522125,258.9955625
2009,07,17,4.83054188,287.2856
2009,07,18,4.21494288,283.9606
2009,07,19,2.86472412,272.708125
2009,07,20,3.02053738,272.205
2009,07,21,2.31517825,257.7786125
2009,07,22,2.16639013,254.0207
2009,07,23,2.69125438,266.40265
2009,07,24,2.41903213,258.266025
2009,07,25,2.424308,259.538675
2009,07,26,2.73724738,267.5362875
2009,07,27,2.76492762,269.085425
2009,07,28,2.9284545,270.424725
2009,07,29,2.5168825,264.907
2009,07,30,2.72472137,270.1687125
2009,07,31,3.22770688,277.42305
2010,07,1,3.8361935,281.7838375
2010,07,2,4.7836345,288.4557125
2010,07,3,3.025368,276.62125
2010,07,4,3.278774,279.4242625
2010,07,5,2.52113562,261.4694125
2010,07,6,2.25967488,256.8243125
2010,07,7,2.366217,259.5589625
2010,07,8,2.57590012,262.3381125
2010,07,9,2.3096265,256.9074875
2010,07,10,2.81622775,268.99075
2010,07,11,2.69236175,266.7706875
2010,07,12,2.75929238,269.2242625
2010,07,13,2.99712762,273.465525
2010,07,14,2.85153438,270.3388
2010,07,15,2.53433662,264.143075
2010,07,16,3.5621355,277.63615
2010,07,17,3.813586,280.4382375
2010,07,18,4.44777612,286.1877375
2010,07,19,3.7428565,282.1121125
2010,07,20,3.48826875,281.032675
2010,07,21,3.693483,282.1527625
2010,07,22,3.534419,279.9582625
2010,07,23,3.58499825,280.6206375
2010,07,24,3.45230012,278.3680125
2010,07,25,3.57451812,280.0594875
2010,07,26,3.461036,279.11525
2010,07,27,2.95275838,273.2648125
2010,07,28,3.80988675,283.4008875
2010,07,29,3.85549538,284.44905
2010,07,30,3.91965938,285.3119875
2010,07,31,4.22727088,287.7504125
2011,07,1,3.37683325,280.05095
2011,07,2,4.32620825,286.1089625
2011,07,3,3.401016,273.5799125
2011,07,4,2.11654825,250.58035
2011,07,5,2.05836275,248.4745875
2011,07,6,2.53379562,262.3972125
2011,07,7,4.18477638,283.6019125
2011,07,8,3.22107038,274.3516625
2011,07,9,3.15293938,275.5119
2011,07,10,3.76646512,281.181375
2011,07,11,3.73642162,279.758625
2011,07,12,4.24640837,283.7798625
2011,07,13,4.71149512,286.46505
2011,07,14,4.5708255,285.8907625
2011,07,15,4.50463375,285.8433375
2011,07,16,4.21015125,284.3492
2011,07,17,3.86472225,283.8012375
2011,07,18,3.6188125,282.9079125
2011,07,19,3.468,280.8828875
2011,07,20,2.53118063,264.2976375
2011,07,21,2.7829785,269.888375
2011,07,22,3.75269925,282.2585875
2011,07,23,3.89346262,282.524925
2011,07,24,4.21818825,284.5366625
2011,07,25,4.025467,284.2598
2011,07,26,4.730553,288.433725
2011,07,27,5.36278075,290.66265
2011,07,28,5.23912475,290.2203625
