####################################################################################################
# Month: 12Dec                                                                                     #
# Station: KVNYS                                                                                   #
# Frequency: 86 GHz                                                                                #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,12,1,0,0.1158599,31.1562
2009,12,1,1,0.1181169,31.69059
2009,12,1,2,0.1164279,31.35058
2009,12,1,3,0.1083204,29.48407
2009,12,1,4,0.09873422,27.23429
2009,12,1,5,0.1013883,27.89731
2009,12,1,6,0.1129902,30.64135
2009,12,1,7,0.1294014,34.49532
2009,12,2,0,0.1488696,38.73439
2009,12,2,1,0.1412881,37.00124
2009,12,2,2,0.1254751,33.30582
2009,12,2,3,0.1585023,40.23943
2009,12,2,4,0.1865894,46.16218
2009,12,2,5,0.2198944,53.07567
2009,12,2,6,0.2029717,49.87352
2009,12,2,7,0.2095602,51.27281
2009,12,3,0,0.2900934,67.84939
2009,12,3,1,0.2168072,53.14968
2009,12,3,2,0.1611698,41.33867
2009,12,3,3,0.1427075,37.24588
2009,12,3,4,0.1322572,34.86089
2009,12,3,5,0.124126,33.00807
2009,12,3,6,0.1268381,33.60299
2009,12,3,7,0.1150978,30.85395
2009,12,4,0,0.09931063,27.0979
2009,12,4,1,0.1049233,28.38533
2009,12,4,2,0.1170861,31.27863
2009,12,4,3,0.1365068,35.67327
2009,12,4,4,0.1842717,45.96052
2009,12,4,5,0.204739,50.26774
2009,12,4,6,0.232583,55.93929
2009,12,4,7,0.364961,81.66272
2009,12,5,0,0.2198676,52.78939
2009,12,5,1,0.1198895,31.52669
2009,12,5,2,0.08260897,23.37407
2009,12,5,3,0.07921565,22.54114
2009,12,5,4,0.07501437,21.55978
2009,12,5,5,0.07036417,20.42945
2009,12,5,6,0.07242202,20.84134
2009,12,5,7,0.07190695,20.63941
2009,12,6,0,0.06864924,19.76128
2009,12,6,1,0.07688501,21.73083
2009,12,6,2,0.08125721,22.58689
2009,12,6,3,0.0739131,20.85966
2009,12,6,4,0.07239809,20.53321
2009,12,6,5,0.07749519,21.7882
2009,12,6,6,0.08161074,22.78404
2009,12,6,7,0.082288,22.97942
2009,12,7,0,0.08540726,23.77971
2009,12,7,1,0.08733705,24.26495
2009,12,7,2,0.09321597,25.74356
2009,12,7,3,0.09318721,25.78424
2009,12,7,4,0.08822147,24.66164
2009,12,7,5,0.08981916,25.04627
2009,12,7,6,0.09880454,27.0836
2009,12,7,7,0.1331286,34.86238
2009,12,8,0,0.2011922,49.55157
2009,12,8,1,0.2073558,50.9112
2009,12,8,2,0.1902992,47.48561
2009,12,8,3,0.1708866,43.86677
2009,12,8,4,0.204871,51.52347
2009,12,8,5,0.2102778,52.66895
2009,12,8,6,0.2395412,58.72826
2009,12,8,7,0.2859562,67.737
2009,12,9,0,0.2893155,68.03148
2009,12,9,1,0.2066616,51.6164
2009,12,9,2,0.1656065,42.72573
2009,12,9,3,0.149626,39.11296
2009,12,9,4,0.1616227,41.724
2009,12,9,5,0.1639716,42.39685
2009,12,9,6,0.1812829,46.30453
2009,12,9,7,0.2027577,51.07864
2009,12,10,0,0.2242704,55.73735
2009,12,10,1,0.2211134,54.98139
2009,12,10,2,0.2320142,57.18402
2009,12,10,3,0.2065642,52.09082
2009,12,10,4,0.2283813,56.88552
2009,12,10,5,0.2553873,62.4748
2009,12,10,6,0.2349157,58.15945
