####################################################################################################
# Month: 05May                                                                                     #
# Station: LEN                                                                                     #
# Frequency: 86 GHz                                                                                #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,05,1,0,0.0675683,19.82444
2009,05,1,1,0.05209278,15.94055
2009,05,1,2,0.04497088,14.1582
2009,05,1,3,0.03806669,12.40067
2009,05,1,4,0.03653915,12.01109
2009,05,1,5,0.03862058,12.54131
2009,05,1,6,0.04505632,14.10395
2009,05,1,7,0.05103563,15.56366
2009,05,2,0,0.04775653,14.82311
2009,05,2,1,0.04519544,14.15316
2009,05,2,2,0.04361382,13.78978
2009,05,2,3,0.04665121,14.57804
2009,05,2,4,0.05066347,15.6029
2009,05,2,5,0.04916543,15.24446
2009,05,2,6,0.04700942,14.70679
2009,05,2,7,0.04477642,14.17541
2009,05,3,0,0.04361755,13.90674
2009,05,3,1,0.04396826,14.01939
2009,05,3,2,0.04262757,13.68923
2009,05,3,3,0.04360532,13.93383
2009,05,3,4,0.04505262,14.2603
2009,05,3,5,0.04507667,14.24375
2009,05,3,6,0.04824043,14.99216
2009,05,3,7,0.06490398,19.07438
2009,05,4,0,0.09976241,27.39262
2009,05,4,1,0.0662659,19.18587
2009,05,4,2,0.04125083,13.01253
2009,05,4,3,0.03514408,11.47967
2009,05,4,4,0.03617993,11.7377
2009,05,4,5,0.03819634,12.27436
2009,05,4,6,0.04577708,14.12626
2009,05,4,7,0.0626015,18.22534
2009,05,5,0,0.05786893,17.22749
2009,05,5,1,0.07113608,20.58513
2009,05,5,2,0.06398403,18.88734
2009,05,5,3,0.04815655,14.93739
2009,05,5,4,0.0410926,13.14061
2009,05,5,5,0.0367966,12.05764
2009,05,5,6,0.03659226,12.0149
2009,05,5,7,0.03757046,12.25984
2009,05,6,0,0.0382145,12.40411
2009,05,6,1,0.03964522,12.72891
2009,05,6,2,0.04170663,13.22742
2009,05,6,3,0.04258108,13.41987
2009,05,6,4,0.04157453,13.15113
2009,05,6,5,0.04250541,13.39066
2009,05,6,6,0.04340106,13.62691
2009,05,6,7,0.04514614,14.07028
2009,05,7,0,0.04423629,13.83388
2009,05,7,1,0.04316312,13.53244
2009,05,7,2,0.05081543,15.39972
2009,05,7,3,0.06120545,17.9174
2009,05,7,4,0.05985338,17.64101
2009,05,7,5,0.05622906,16.81266
2009,05,7,6,0.06123977,17.98783
