####################################################################################################
# Month: 06Jun                                                                                     #
# Station: LEN                                                                                     #
# Columns are: year    month   day     segment         windspeed (m/s)                             #
####################################################################################################
year,month,day,segment,windspeed
2009,06,1,0,3.521798
2009,06,1,1,4.00223
2009,06,1,2,4.240164
2009,06,1,3,6.088826
2009,06,1,4,7.048995
2009,06,1,5,6.040079
2009,06,1,6,4.693552
2009,06,1,7,4.231456
2009,06,2,0,5.198676
2009,06,2,1,5.243072
2009,06,2,2,4.896861
2009,06,2,3,5.994031
2009,06,2,4,6.628422
2009,06,2,5,5.701111
2009,06,2,6,7.109546
2009,06,2,7,9.009449
2009,06,3,0,13.228307
2009,06,3,1,15.173257
2009,06,3,2,17.927409
2009,06,3,3,20.084676
2009,06,3,4,19.275512
2009,06,3,5,15.358954
2009,06,3,6,13.635826
2009,06,3,7,13.886532
2009,06,4,0,16.130299
2009,06,4,1,17.934225
2009,06,4,2,17.964833
2009,06,4,3,19.947822
2009,06,4,4,19.886643
2009,06,4,5,18.893808
2009,06,4,6,17.247194
2009,06,4,7,13.180886
2009,06,5,0,9.40993
2009,06,5,1,5.453376
2009,06,5,2,2.169486
2009,06,5,3,1.378044
2009,06,5,4,1.856444
2009,06,5,5,1.476744
2009,06,5,6,3.873941
2009,06,5,7,5.425816
2009,06,6,0,9.052065
2009,06,6,1,10.555365
2009,06,6,2,10.227498
2009,06,6,3,10.806269
2009,06,6,4,12.185463
2009,06,6,5,12.250563
2009,06,6,6,10.531218
2009,06,6,7,10.130549
2009,06,7,0,13.760452
2009,06,7,1,16.021268
2009,06,7,2,18.71534
2009,06,7,3,19.44007
2009,06,7,4,18.656035
2009,06,7,5,14.490605
2009,06,7,6,9.253743
2009,06,7,7,6.631182
2009,06,8,0,7.445249
2009,06,8,1,8.504611
2009,06,8,2,8.535737
2009,06,8,3,6.68317
2009,06,8,4,4.865107
2009,06,8,5,3.370049
2009,06,8,6,2.137458
2009,06,8,7,2.297306
2009,06,9,0,3.001904
2009,06,9,1,2.903126
2009,06,9,2,2.786319
2009,06,9,3,5.468871
2009,06,9,4,4.110462
2009,06,9,5,3.201279
2009,06,9,6,3.976932
2009,06,9,7,4.284075
2009,06,10,0,5.714087
2009,06,10,1,5.735463
2009,06,10,2,6.181202
2009,06,10,3,8.787632
2009,06,10,4,6.804099
2009,06,10,5,1.23588
2009,06,10,6,0.793376
2009,06,10,7,0.8255
2009,06,11,0,5.122411
2009,06,11,1,5.947945
2009,06,11,2,4.659542
