####################################################################################################
# Month: 07Jul                                                                                     #
# Station: LEN                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,07,1,0.54503246,110.335025
2009,07,2,0.69616809,132.924025
2009,07,3,0.77495636,141.803675
2009,07,4,0.72058564,135.804775
2009,07,5,0.78283703,143.5587625
2009,07,6,0.64989912,125.34241625
2009,07,7,0.28564559,65.3750475
2009,07,8,0.20369851,52.7720675
2009,07,9,0.34013548,79.2195375
2009,07,10,0.40476729,89.03559125
2009,07,11,0.55520725,115.06315625
2009,07,12,0.65199556,126.67391
2009,07,13,0.2686933,62.67687
2009,07,14,0.2861961,66.35929625
2009,07,15,0.40611849,90.751135
2009,07,16,0.21770044,56.6057375
2009,07,17,0.36444915,83.61080875
2009,07,18,0.44707159,99.18985
2009,07,19,0.35228301,80.52133875
2009,07,20,0.603551,118.23668875
2009,07,21,0.51064861,106.59420125
2009,07,22,0.27172242,65.0308725
2009,07,23,0.18438868,47.182445
2009,07,24,0.35608594,81.5283775
2009,07,25,0.517988,106.95589375
2009,07,26,0.18089054,47.10994
2009,07,27,0.4495418,95.50761
2009,07,28,0.39976655,87.6336975
2009,07,29,0.20427598,52.2957425
2009,07,30,0.41752042,92.06954625
2009,07,31,0.59985924,118.13878625
2010,07,1,0.29811491,72.3429775
2010,07,2,0.45280364,98.99932375
2010,07,3,0.37023931,85.20784875
2010,07,4,0.43753675,95.28516875
2010,07,5,0.46705351,99.82986
2010,07,6,0.62519112,122.16485
2010,07,7,0.50256944,105.4105375
2010,07,8,0.54019039,112.67628625
2010,07,9,0.39637925,89.75876625
2010,07,10,0.21927991,55.872715
2010,07,11,0.3457997,77.8111525
2010,07,12,0.1533202,41.3247225
2010,07,13,0.29051662,69.5383475
2010,07,14,0.23146341,57.0013925
2010,07,15,0.2626198,62.7536475
2010,07,16,0.10254778,30.86257375
2010,07,17,0.2144386,54.97793
2010,07,18,0.1935425,51.238875
2010,07,19,0.202841,52.273015
2010,07,20,0.29670916,68.9173625
2010,07,21,0.32867763,75.42590125
2010,07,22,0.25776276,62.0339025
2010,07,23,0.49394302,103.017225
2010,07,24,0.47130982,98.9250075
2010,07,25,0.26313434,63.26014125
2010,07,26,0.26389211,64.93211625
2010,07,27,0.46350938,98.9295325
2010,07,28,0.18361579,48.63364
2010,07,29,0.33607665,76.8457825
2010,07,30,0.5577911,112.49405125
2010,07,31,0.24487786,59.782565
2011,07,1,0.18007899,47.3960975
2011,07,2,0.17745685,46.8381875
2011,07,3,0.1804567,48.4106925
2011,07,4,0.20430773,52.50915125
2011,07,5,0.36002002,83.10390125
2011,07,6,0.23412043,60.080405
2011,07,7,0.26927802,67.40053625
2011,07,8,0.42672976,94.59373
2011,07,9,0.81851588,151.3584625
2011,07,10,0.62782994,127.446775
2011,07,11,0.69743651,133.47795
2011,07,12,0.46144932,97.113295
2011,07,13,0.21120994,54.99194625
2011,07,14,0.59576981,115.6270375
2011,07,15,0.57309659,113.2953325
2011,07,16,0.47962419,100.7388875
2011,07,17,0.2252804,56.76354125
2011,07,18,0.34074768,77.904375
