####################################################################################################
# Month: 05May                                                                                     #
# Station: ORG                                                                                     #
# Frequency: 86 GHz                                                                                #
# Columns are: year    month   day     tau     Tb (K)                                              #
####################################################################################################
year,month,day,tau,Tb
2009,05,1,0.1504879,38.8888
2009,05,2,0.16847116,42.8107425
2009,05,3,0.13679498,35.63606125
2009,05,4,0.13623501,35.1806775
2009,05,5,0.1239176,33.15680125
2009,05,6,0.1214819,32.37430125
2009,05,7,0.08442287,23.87227125
2009,05,8,0.05415798,16.2802525
2009,05,9,0.05342272,16.10247375
2009,05,10,0.05989881,17.77340875
2009,05,11,0.0745179,21.4851625
2009,05,12,0.06630397,19.1877525
2009,05,13,0.06860969,19.6325725
2009,05,14,0.1412903,36.71935625
2009,05,15,0.07338871,21.02374375
2009,05,16,0.06944716,20.403
2009,05,17,0.07346241,21.5654375
2009,05,18,0.0795944,23.1873725
2009,05,19,0.08295404,23.78806375
2009,05,20,0.07133013,20.7628575
2009,05,21,0.06080906,18.18765625
2009,05,22,0.07226326,21.0213025
2009,05,23,0.08873032,25.00330625
2009,05,24,0.130721,34.77710625
2009,05,25,0.10317759,28.43015125
2009,05,26,0.08183022,23.2938675
2009,05,27,0.08962348,25.35899625
2009,05,28,0.09622929,27.004535
2009,05,29,0.10180289,28.3765475
2009,05,30,0.11533682,31.66862125
2009,05,31,0.2002341,50.136585
2010,05,1,0.07365489,20.91779125
2010,05,2,0.06740099,19.3834025
2010,05,3,0.08476426,23.681065
2010,05,4,0.06344411,18.43546625
2010,05,5,0.07565577,21.262475
2010,05,6,0.06879343,19.44717
2010,05,7,0.05593047,16.477125
2010,05,8,0.10008907,26.85336125
2010,05,9,0.118698,30.9753075
2010,05,10,0.13936875,35.66387
2010,05,11,0.12501112,32.6934225
2010,05,12,0.09969516,26.7745225
2010,05,13,0.07107997,20.24300875
2010,05,14,0.06363995,18.6547325
2010,05,15,0.07077828,20.45968
2010,05,16,0.08738372,24.34901
2010,05,17,0.13840216,35.99926125
2010,05,18,0.14521741,37.6716225
2010,05,19,0.07681968,21.9743725
2010,05,20,0.11374416,30.30198375
2010,05,21,0.08579574,23.41782375
2010,05,22,0.13344996,34.01899625
2010,05,23,0.10405129,27.65610375
2010,05,24,0.10287016,27.458505
2010,05,25,0.08779573,24.27504375
2010,05,26,0.14606778,37.55883875
2010,05,27,0.1186328,31.16708
2010,05,28,0.1128349,29.75973125
2010,05,29,0.09840282,26.80375375
2010,05,30,0.07857519,22.29053
2010,05,31,0.12426403,32.99266875
2011,05,1,0.05287966,15.70049625
2011,05,2,0.05955452,17.4926875
2011,05,3,0.08661216,23.89547875
2011,05,4,0.04901822,15.00154375
2011,05,5,0.06023502,17.9082475
2011,05,6,0.11062201,29.95727
2011,05,7,0.19148892,48.12906
2011,05,8,0.19437075,47.98657875
2011,05,9,0.10284606,27.36501375
2011,05,10,0.11458809,30.85127
2011,05,11,0.09115538,25.20070875
2011,05,12,0.10959522,29.76897625
2011,05,13,0.07998364,22.91323
2011,05,14,0.12271302,32.98259875
2011,05,15,0.14699596,37.89938875
2011,05,16,0.11247894,29.42900875
2011,05,17,0.09600019,25.66693
2011,05,18,0.1229336,31.98967125
2011,05,19,0.11999357,31.73275
2011,05,20,0.07235502,20.78022125
2011,05,21,0.10888539,29.22580375
2011,05,22,0.15486648,39.62366625
2011,05,23,0.12897634,33.61555875
