####################################################################################################
# Month: 09Sep                                                                                     #
# Station: ORG                                                                                     #
# Columns are: year    month   day     windspeed (m/s)                                             #
####################################################################################################
year,month,day,windspeed
2009,09,1,8.47106275
2009,09,2,6.21238162
2009,09,3,7.8067565
2009,09,4,5.00780938
2009,09,5,7.08886275
2009,09,6,10.35246138
2009,09,7,4.94763138
2009,09,8,3.44961988
2009,09,9,3.19409775
2009,09,10,2.2000305
2009,09,11,1.29172275
2009,09,12,2.9257685
2009,09,13,3.03976325
2009,09,14,4.50052062
2009,09,15,5.49099362
2009,09,16,3.23038362
2009,09,17,3.32081825
2009,09,18,4.271329
2009,09,19,8.02771388
2009,09,20,7.58511438
2009,09,21,8.4247525
2009,09,22,5.546509
2009,09,23,5.662411
2009,09,24,3.31232538
2009,09,25,3.77779838
2009,09,26,5.85902225
2009,09,27,5.1807415
2009,09,28,6.07329088
2009,09,29,15.01533212
2009,09,30,11.56032225
2010,09,1,6.317053
2010,09,2,3.413256
2010,09,3,2.72002388
2010,09,4,7.17657888
2010,09,5,10.17810262
2010,09,6,6.25406425
2010,09,7,5.35463088
2010,09,8,9.11259588
2010,09,9,7.77361538
2010,09,10,4.41209675
2010,09,11,4.14823862
2010,09,12,2.59048113
2010,09,13,2.70953012
2010,09,14,2.96984388
2010,09,15,4.09382862
2010,09,16,4.57396775
2010,09,17,4.95638712
2010,09,18,5.9836845
2010,09,19,10.31692862
2010,09,20,6.717624
2010,09,21,4.42484188
2010,09,22,3.028956
2010,09,23,5.91850275
2010,09,24,6.04281637
2010,09,25,4.52683462
2010,09,26,7.202563
2010,09,27,2.94210062
2010,09,28,2.55304875
2010,09,29,2.5029235
2010,09,30,3.86600975
2011,09,1,3.96642487
2011,09,2,3.29498388
2011,09,3,3.22688575
2011,09,4,1.24048525
2011,09,5,2.07855775
2011,09,6,4.51843825
2011,09,7,4.2588085
2011,09,8,4.42947788
2011,09,9,7.89136263
2011,09,10,7.595328
2011,09,11,5.389575
2011,09,12,2.61786
2011,09,13,2.29839312
2011,09,14,1.78462612
2011,09,15,3.01389725
2011,09,16,6.14547838
2011,09,17,4.4090565
2011,09,18,5.145822
2011,09,19,5.95634438
2011,09,20,4.71061575
2011,09,21,2.7230695
2011,09,22,3.28439388
2011,09,23,2.84452638
2011,09,24,6.1054225
2011,09,25,10.39475375
2011,09,26,6.14081662
2011,09,27,4.424612
2011,09,28,3.58687488
2011,09,29,4.69285862
2011,09,30,6.96071975
2012,09,1,4.763963
2012,09,2,2.88692575
2012,09,3,2.76986112
2012,09,4,3.55103512
2012,09,5,4.59499375
2012,09,6,5.85229062
2012,09,7,2.715403
2012,09,8,3.85944412
2012,09,9,9.41760588
2012,09,10,6.671757
2012,09,11,3.99274288
2012,09,12,3.78966838
2012,09,13,3.65314488
2012,09,14,6.61819212
2012,09,15,7.51346812
2012,09,16,6.217465
2012,09,17,3.81981238
2012,09,18,2.39171462
2012,09,19,3.0919835
2012,09,20,4.794443
