####################################################################################################
# Month: 01Jan                                                                                     #
# Station: PER                                                                                     #
# Frequency: 86 GHz                                                                                #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,01,1,0,0.08626527,24.71095
2009,01,1,1,0.09287301,26.31952
2009,01,1,2,0.08108222,23.42432
2009,01,1,3,0.07327439,21.44962
2009,01,1,4,0.05607565,17.00603
2009,01,1,5,0.04241477,13.53255
2009,01,1,6,0.04236816,13.49438
2009,01,1,7,0.04541989,14.24237
2009,01,2,0,0.05020204,15.44461
2009,01,2,1,0.06185535,18.52021
2009,01,2,2,0.05768424,17.56386
2009,01,2,3,0.05675751,17.3645
2009,01,2,4,0.05722834,17.47996
2009,01,2,5,0.04951547,15.40152
2009,01,2,6,0.04557704,14.39431
2009,01,2,7,0.04692272,14.74076
2009,01,3,0,0.04793191,15.01356
2009,01,3,1,0.06239761,18.75561
2009,01,3,2,0.070137,20.73666
2009,01,3,3,0.07057354,20.82913
2009,01,3,4,0.07537421,21.95563
2009,01,3,5,0.08293172,23.82028
2009,01,3,6,0.09201369,25.94649
2009,01,3,7,0.1009084,27.76161
2009,01,4,0,0.09255938,25.87721
2009,01,4,1,0.1099645,30.37002
2009,01,4,2,0.100274,28.08099
2009,01,4,3,0.07924491,22.8517
2009,01,4,4,0.0785263,22.47963
2009,01,4,5,0.06898965,20.17064
2009,01,4,6,0.06361752,18.92419
2009,01,4,7,0.06294533,18.8716
2009,01,5,0,0.06464467,19.42092
2009,01,5,1,0.07527805,22.11754
2009,01,5,2,0.07753113,22.70064
2009,01,5,3,0.08339114,24.13722
2009,01,5,4,0.09019511,25.81375
2009,01,5,5,0.09497853,26.9525
2009,01,5,6,0.09072923,25.96409
2009,01,5,7,0.08087527,23.57005
2009,01,6,0,0.07837051,22.97256
2009,01,6,1,0.07578448,22.36708
2009,01,6,2,0.072592,21.61892
2009,01,6,3,0.07552295,22.38045
2009,01,6,4,0.07440837,22.06458
2009,01,6,5,0.07477102,22.13342
2009,01,6,6,0.08276895,24.14913
2009,01,6,7,0.1016026,28.80505
2009,01,7,0,0.1078572,30.21151
2009,01,7,1,0.1030898,29.11748
2009,01,7,2,0.125495,34.54332
2009,01,7,3,0.1131894,31.6409
2009,01,7,4,0.09112087,26.18463
2009,01,7,5,0.07432996,21.88167
2009,01,7,6,0.04602524,14.50159
2009,01,7,7,0.04165853,13.39878
2009,01,8,0,0.04775658,14.974
2009,01,8,1,0.05700345,17.36524
2009,01,8,2,0.05645733,17.22942
2009,01,8,3,0.05990229,18.12261
2009,01,8,4,0.06469485,19.3188
2009,01,8,5,0.06265003,18.76318
2009,01,8,6,0.05894277,17.78884
2009,01,8,7,0.04755712,14.84252
2009,01,9,0,0.06370793,18.99683
2009,01,9,1,0.06863907,20.27798
2009,01,9,2,0.07246639,21.24836
2009,01,9,3,0.0805563,23.227
2009,01,9,4,0.07916452,22.88146
2009,01,9,5,0.09004398,25.19339
2009,01,9,6,0.1074667,29.04278
2009,01,9,7,0.08450196,24.08486
2009,01,10,0,0.0916766,25.91873
2009,01,10,1,0.1350878,36.2729
2009,01,10,2,0.1381175,36.86374
2009,01,10,3,0.1435438,38.03273
2009,01,10,4,0.1340119,36.07329
2009,01,10,5,0.2113985,53.88523
2009,01,10,6,0.2017805,51.88998
2009,01,10,7,0.1157746,31.92152
2009,01,11,0,0.1335051,35.96593
2009,01,11,1,0.2383762,58.55528
2009,01,11,2,0.1727919,44.54051
2009,01,11,3,0.1211172,33.18939
2009,01,11,4,0.1016481,28.57011
2009,01,11,5,0.08369363,24.12637
2009,01,11,6,0.07291438,21.39198
2009,01,11,7,0.06204597,18.66665
2009,01,12,0,0.07655394,22.37417
2009,01,12,1,0.08051733,23.41459
2009,01,12,2,0.07972926,23.32007
2009,01,12,3,0.08162583,23.85108
2009,01,12,4,0.0782623,23.07125
2009,01,12,5,0.07797124,22.97808
2009,01,12,6,0.07190767,21.42904
2009,01,12,7,0.06497884,19.66957
2009,01,13,0,0.05907242,18.16604
2009,01,13,1,0.07925533,23.45058
2009,01,13,2,0.07962404,23.60747
2009,01,13,3,0.07792943,23.21274
2009,01,13,4,0.07873512,23.45002
2009,01,13,5,0.08124204,24.08735
2009,01,13,6,0.08368873,24.64331
2009,01,13,7,0.08353234,24.56554
2009,01,14,0,0.08193963,24.13817
2009,01,14,1,0.09319701,27.01636
2009,01,14,2,0.09732255,28.01844
2009,01,14,3,0.09632055,27.71453
2009,01,14,4,0.1107252,31.2665
2009,01,14,5,0.1515646,41.12585
2009,01,14,6,0.09806109,28.03584
2009,01,14,7,0.09586883,27.37796
2009,01,15,0,0.1040623,29.38722
2009,01,15,1,0.1173743,32.52501
2009,01,15,2,0.1864812,47.53909
2009,01,15,3,0.05952283,17.96487
2009,01,15,4,0.0451208,14.35012
2009,01,15,5,0.04252973,13.68223
2009,01,15,6,0.04750959,14.97444
2009,01,15,7,0.05305755,16.36093
2009,01,16,0,0.06198973,18.57103
2009,01,16,1,0.07067389,20.76454
2009,01,16,2,0.07976167,23.04746
2009,01,16,3,0.0833189,23.80979
2009,01,16,4,0.07615553,22.10317
2009,01,16,5,0.05306946,16.35554
2009,01,16,6,0.04588914,14.55942
2009,01,16,7,0.04668736,14.73978
2009,01,17,0,0.04978658,15.51909
2009,01,17,1,0.06322086,18.9648
2009,01,17,2,0.06764645,20.10107
2009,01,17,3,0.06748172,20.14843
2009,01,17,4,0.07282544,21.5756
2009,01,17,5,0.07418317,21.87621
2009,01,17,6,0.0875091,25.32027
2009,01,17,7,0.0575761,17.63337
2009,01,18,0,0.05517179,17.01783
2009,01,18,1,0.06192055,18.75282
2009,01,18,2,0.0697892,20.75976
2009,01,18,3,0.07652291,22.45122
2009,01,18,4,0.07565147,22.24968
2009,01,18,5,0.07006938,20.84924
2009,01,18,6,0.05656946,17.34678
2009,01,18,7,0.05409012,16.67888
2009,01,19,0,0.07020305,20.81391
2009,01,19,1,0.08044,23.38271
2009,01,19,2,0.0827179,23.99369
2009,01,19,3,0.08469953,24.52779
2009,01,19,4,0.08970094,25.81216
2009,01,19,5,0.1000817,28.46921
2009,01,19,6,0.1043092,29.51553
2009,01,19,7,0.1134479,31.65227
2009,01,20,0,0.1406687,38.18786
2009,01,20,1,0.2138564,54.79045
2009,01,20,2,0.2829211,69.46254
2009,01,20,3,0.1847705,48.32884
2009,01,20,4,0.1930283,50.12631
2009,01,20,5,0.1589808,42.37825
2009,01,20,6,0.112019,31.27437
2009,01,20,7,0.09959849,28.20677
2009,01,21,0,0.1006878,28.38291
2009,01,21,1,0.1179267,32.58976
2009,01,21,2,0.119024,32.92095
2009,01,21,3,0.1268087,34.74828
2009,01,21,4,0.1351947,36.68047
2009,01,21,5,0.1304294,35.65685
2009,01,21,6,0.138179,37.72713
2009,01,21,7,0.1358806,37.26058
2009,01,22,0,0.2514554,63.31293
2009,01,22,1,0.4142448,94.16516
2009,01,22,2,0.3472829,81.27503
2009,01,22,3,0.3586134,84.76425
2009,01,22,4,0.1203669,33.26205
2009,01,22,5,0.08930687,25.86059
2009,01,22,6,0.09958123,28.45591
2009,01,22,7,0.09795657,28.02717
2009,01,23,0,0.1010782,28.81827
2009,01,23,1,0.1181059,33.02848
2009,01,23,2,0.1415507,38.67534
2009,01,23,3,0.1514372,40.92944
2009,01,23,4,0.1371059,37.60852
2009,01,23,5,0.2297947,58.04288
2009,01,23,6,0.1474135,39.49291
2009,01,23,7,0.1057658,29.80995
2009,01,24,0,0.05866231,17.97633
2009,01,24,1,0.05889169,17.95384
2009,01,24,2,0.05814758,17.70256
2009,01,24,3,0.05148472,16.05388
2009,01,24,4,0.05533071,17.01493
2009,01,24,5,0.05584422,17.10827
2009,01,24,6,0.06209925,18.68703
2009,01,24,7,0.06816228,20.27857
2009,01,25,0,0.0643165,19.35139
2009,01,25,1,0.06988655,20.88211
2009,01,25,2,0.06957833,20.88484
2009,01,25,3,0.07124192,21.3438
2009,01,25,4,0.07061325,21.15933
2009,01,25,5,0.06693163,20.18238
2009,01,25,6,0.06615163,19.98697
2009,01,25,7,0.06614996,19.98345
2009,01,26,0,0.06572575,19.87084
2009,01,26,1,0.06994223,20.98019
2009,01,26,2,0.06979712,20.95483
2009,01,26,3,0.07412246,22.06243
2009,01,26,4,0.06801173,20.53257
2009,01,26,5,0.06216576,19.00621
2009,01,26,6,0.06048054,18.5597
2009,01,26,7,0.06265795,19.13743
2009,01,27,0,0.06792723,20.51951
2009,01,27,1,0.08664896,25.34758
2009,01,27,2,0.08911727,26.02601
2009,01,27,3,0.08714324,25.56821
2009,01,27,4,0.08840169,25.892
2009,01,27,5,0.09210738,26.79968
2009,01,27,6,0.09554758,27.62369
2009,01,27,7,0.09797833,28.26207
2009,01,28,0,0.1001581,28.8045
2009,01,28,1,0.1063566,30.39305
2009,01,28,2,0.1043643,29.94252
2009,01,28,3,0.1055769,30.25757
2009,01,28,4,0.1107698,31.50379
2009,01,28,5,0.1122823,31.86049
2009,01,28,6,0.09979636,28.76417
2009,01,28,7,0.09295255,27.04045
2009,01,29,0,0.0948274,27.5609
2009,01,29,1,0.09688985,28.13522
2009,01,29,2,0.1087857,31.07393
2009,01,29,3,0.1177934,33.27536
2009,01,29,4,0.11608,32.88599
2009,01,29,5,0.1034686,29.82896
2009,01,29,6,0.1040724,29.98946
2009,01,29,7,0.1026848,29.62274
2009,01,30,0,0.0884939,26.01488
2009,01,30,1,0.08956692,26.27181
2009,01,30,2,0.1030406,29.60929
2009,01,30,3,0.119115,33.46018
2009,01,30,4,0.1078762,30.75778
2009,01,30,5,0.09996515,28.7927
2009,01,30,6,0.09733626,28.15441
2009,01,30,7,0.09538855,27.67414
2009,01,31,0,0.09371314,27.20581
2009,01,31,1,0.09645931,27.91608
2009,01,31,2,0.1034516,29.66156
2009,01,31,3,0.1457751,39.65803
2009,01,31,4,0.1596776,42.8371
2009,01,31,5,0.135385,37.1018
2009,01,31,6,0.1213548,33.71564
2009,01,31,7,0.1067518,30.16053
2010,01,1,0,0.1752745,46.56798
2010,01,1,1,0.277071,68.24958
2010,01,1,2,0.3181787,76.47775
2010,01,1,3,0.1528047,41.14333
2010,01,1,4,0.1121517,31.48872
2010,01,1,5,0.1276295,35.16797
2010,01,1,6,0.1424902,38.62117
2010,01,1,7,0.2622069,64.01486
2010,01,2,0,0.289558,68.29305
2010,01,2,1,0.3669385,86.08564
2010,01,2,2,0.1890339,49.71609
2010,01,2,3,0.1154898,32.3187
2010,01,2,4,0.1008393,28.63517
2010,01,2,5,0.0538394,16.62694
2010,01,2,6,0.05346432,16.43435
2010,01,2,7,0.06254115,18.7003
2010,01,3,0,0.07165709,21.04167
2010,01,3,1,0.08323047,24.04761
2010,01,3,2,0.08498171,24.5386
2010,01,3,3,0.08399312,24.33379
2010,01,3,4,0.08819454,25.42452
2010,01,3,5,0.07827167,22.89237
2010,01,3,6,0.06894439,20.51655
2010,01,3,7,0.06217669,18.79264
2010,01,4,0,0.06193073,18.73388
2010,01,4,1,0.09407658,26.94091
2010,01,4,2,0.09874985,28.15783
2010,01,4,3,0.09653224,27.61285
2010,01,4,4,0.08608643,24.99777
2010,01,4,5,0.0874135,25.34279
2010,01,4,6,0.0964675,27.63591
2010,01,4,7,0.1075305,30.40824
2010,01,5,0,0.1397257,38.04004
2010,01,5,1,0.1679281,44.60851
2010,01,5,2,0.09013273,26.04409
2010,01,5,3,0.07391708,21.92864
2010,01,5,4,0.07345384,21.74871
2010,01,5,5,0.07382991,21.83818
2010,01,5,6,0.07554534,22.26618
2010,01,5,7,0.07839679,22.93183
2010,01,6,0,0.07621089,22.36599
2010,01,6,1,0.07483601,22.02158
2010,01,6,2,0.07190271,21.15873
2010,01,6,3,0.08363577,23.82063
2010,01,6,4,0.07611068,22.06918
2010,01,6,5,0.06948683,20.46937
2010,01,6,6,0.06053723,18.24881
2010,01,6,7,0.05654802,17.26518
2010,01,7,0,0.05874472,17.87154
2010,01,7,1,0.07598946,22.38458
2010,01,7,2,0.07789131,22.94018
2010,01,7,3,0.08128824,23.83007
2010,01,7,4,0.08074735,23.66648
2010,01,7,5,0.07861428,23.05664
2010,01,7,6,0.07863088,23.00816
2010,01,7,7,0.0792916,23.173
2010,01,8,0,0.07739995,22.68362
2010,01,8,1,0.1041061,29.47227
2010,01,8,2,0.1063276,30.07726
2010,01,8,3,0.1075788,30.3945
2010,01,8,4,0.1142448,31.96045
2010,01,8,5,0.12121,33.66352
2010,01,8,6,0.1299801,35.79195
2010,01,8,7,0.1291141,35.59526
2010,01,9,0,0.1359816,37.28313
2010,01,9,1,0.1619298,43.38207
2010,01,9,2,0.151231,40.89509
2010,01,9,3,0.1306808,36.06798
2010,01,9,4,0.1233509,34.26079
2010,01,9,5,0.1162751,32.46757
2010,01,9,6,0.09765202,27.86093
2010,01,9,7,0.09318251,26.66462
