####################################################################################################
# Month: 07Jul                                                                                     #
# Station: PER                                                                                     #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
2009,07,1,0,0.734036
2009,07,1,1,0.961038
2009,07,1,2,0.931418
2009,07,1,3,0.902423
2009,07,1,4,0.993656
2009,07,1,5,0.988909
2009,07,1,6,0.950213
2009,07,1,7,0.916096
2009,07,2,0,0.956086
2009,07,2,1,0.896329
2009,07,2,2,0.855774
2009,07,2,3,0.976129
2009,07,2,4,0.991269
2009,07,2,5,1.129958
2009,07,2,6,1.297618
2009,07,2,7,0.893002
2009,07,3,0,0.904542
2009,07,3,1,0.851549
2009,07,3,2,0.793825
2009,07,3,3,0.587695
2009,07,3,4,0.109545
2009,07,3,5,0.111455
2009,07,3,6,0.075194
2009,07,3,7,0.290188
2009,07,4,0,0.649737
2009,07,4,1,0.361732
2009,07,4,2,0.806465
2009,07,4,3,0.795764
2009,07,4,4,0.109579
2009,07,4,5,0.13701
2009,07,4,6,0.13968
2009,07,4,7,0.113552
2009,07,5,0,0.06926
2009,07,5,1,0.086762
2009,07,5,2,0.098099
2009,07,5,3,0.112255
2009,07,5,4,0.131541
2009,07,5,5,0.175578
2009,07,5,6,0.150503
2009,07,5,7,0.167749
2009,07,6,0,0.29323
2009,07,6,1,0.599122
2009,07,6,2,0.451506
2009,07,6,3,0.258699
2009,07,6,4,0.138094
2009,07,6,5,0.082604
2009,07,6,6,0.086823
2009,07,6,7,0.124118
2009,07,7,0,0.172059
2009,07,7,1,0.199855
2009,07,7,2,0.297728
2009,07,7,3,0.282921
2009,07,7,4,0.196161
2009,07,7,5,0.133257
2009,07,7,6,0.099356
2009,07,7,7,0.088128
2009,07,8,0,0.096797
2009,07,8,1,0.118407
2009,07,8,2,0.34234
2009,07,8,3,0.383623
2009,07,8,4,0.203211
2009,07,8,5,0.27953
2009,07,8,6,0.38032
2009,07,8,7,0.357161
2009,07,9,0,0.265847
2009,07,9,1,0.222405
2009,07,9,2,0.443212
2009,07,9,3,0.307486
2009,07,9,4,0.117931
2009,07,9,5,0.104767
2009,07,9,6,0.150504
2009,07,9,7,0.148617
2009,07,10,0,0.13715
2009,07,10,1,0.197968
2009,07,10,2,0.196907
2009,07,10,3,0.171451
2009,07,10,4,0.21867
2009,07,10,5,0.213904
2009,07,10,6,0.43349
2009,07,10,7,0.453992
2009,07,11,0,0.348514
2009,07,11,1,0.327133
2009,07,11,2,0.209877
2009,07,11,3,0.17817
2009,07,11,4,0.674733
2009,07,11,5,0.913854
2009,07,11,6,0.989544
2009,07,11,7,0.95401
2009,07,12,0,0.929937
2009,07,12,1,0.920281
2009,07,12,2,0.695474
2009,07,12,3,0.594228
2009,07,12,4,0.757915
2009,07,12,5,0.87483
2009,07,12,6,0.947678
2009,07,12,7,0.754193
2009,07,13,0,0.708781
2009,07,13,1,0.861211
2009,07,13,2,0.993742
2009,07,13,3,0.969817
2009,07,13,4,0.981455
2009,07,13,5,0.985491
2009,07,13,6,0.966652
2009,07,13,7,0.865867
2009,07,14,0,0.845051
2009,07,14,1,0.861111
2009,07,14,2,0.897793
2009,07,14,3,0.959695
2009,07,14,4,0.906099
2009,07,14,5,0.779591
2009,07,14,6,0.679183
2009,07,14,7,0.627394
2009,07,15,0,0.624889
2009,07,15,1,0.825667
2009,07,15,2,0.873492
2009,07,15,3,0.892951
2009,07,15,4,0.847362
2009,07,15,5,0.752741
2009,07,15,6,0.731774
2009,07,15,7,0.743444
2009,07,16,0,0.771631
2009,07,16,1,0.747063
2009,07,16,2,0.818463
2009,07,16,3,0.758392
2009,07,16,4,0.587857
2009,07,16,5,0.595125
2009,07,16,6,0.441805
2009,07,16,7,0.324593
2009,07,17,0,0.29524
2009,07,17,1,0.238365
2009,07,17,2,0.245248
2009,07,17,3,0.248618
2009,07,17,4,0.181358
2009,07,17,5,0.175969
2009,07,17,6,0.227702
2009,07,17,7,0.241409
2009,07,18,0,0.226829
2009,07,18,1,0.236751
2009,07,18,2,0.233425
2009,07,18,3,0.455678
2009,07,18,4,0.890838
2009,07,18,5,1.326965
2009,07,18,6,0.900533
2009,07,18,7,0.911165
2009,07,19,0,0.905089
2009,07,19,1,0.73162
2009,07,19,2,0.514404
2009,07,19,3,0.237216
2009,07,19,4,0.168049
2009,07,19,5,0.196179
2009,07,19,6,0.228117
2009,07,19,7,0.305341
2009,07,20,0,0.246346
2009,07,20,1,0.286389
2009,07,20,2,0.332679
2009,07,20,3,0.303982
2009,07,20,4,0.44071
2009,07,20,5,0.52283
2009,07,20,6,0.547347
2009,07,20,7,0.544809
2009,07,21,0,0.520146
2009,07,21,1,0.44953
2009,07,21,2,0.374373
2009,07,21,3,0.562849
2009,07,21,4,0.634438
2009,07,21,5,0.805698
2009,07,21,6,0.607711
2009,07,21,7,0.802771
2009,07,22,0,0.97062
2009,07,22,1,0.988606
2009,07,22,2,0.982304
2009,07,22,3,0.952598
2009,07,22,4,0.957655
2009,07,22,5,0.992421
2009,07,22,6,0.990365
2009,07,22,7,0.808921
2009,07,23,0,0.534869
2009,07,23,1,0.934785
2009,07,23,2,0.9144
2009,07,23,3,0.398257
2009,07,23,4,0.20819
2009,07,23,5,0.141106
2009,07,23,6,0.106553
2009,07,23,7,0.070841
2009,07,24,0,0.038418
2009,07,24,1,0.02568
2009,07,24,2,0.036438
2009,07,24,3,0.07504
2009,07,24,4,0.057446
2009,07,24,5,0.060929
2009,07,24,6,0.216122
2009,07,24,7,0.369069
2009,07,25,0,0.370235
2009,07,25,1,0.240194
2009,07,25,2,0.054675
2009,07,25,3,0.044788
2009,07,25,4,0.096388
2009,07,25,5,0.481522
2009,07,25,6,0.741095
2009,07,25,7,0.670341
2009,07,26,0,0.816255
2009,07,26,1,0.917484
2009,07,26,2,0.878774
2009,07,26,3,0.881336
2009,07,26,4,0.708974
2009,07,26,5,0.71083
2009,07,26,6,0.738391
2009,07,26,7,0.726288
2009,07,27,0,0.329736
2009,07,27,1,0.619783
2009,07,27,2,0.692682
2009,07,27,3,0.969254
2009,07,27,4,0.97402
2009,07,27,5,0.882173
2009,07,27,6,0.412867
2009,07,27,7,0.39078
2009,07,28,0,0.51616
2009,07,28,1,0.652783
2009,07,28,2,0.659843
2009,07,28,3,0.596058
2009,07,28,4,0.530795
2009,07,28,5,0.4848
2009,07,28,6,0.426873
2009,07,28,7,0.331574
2009,07,29,0,0.330606
2009,07,29,1,0.350551
2009,07,29,2,0.400608
2009,07,29,3,0.418045
2009,07,29,4,0.439069
2009,07,29,5,0.427294
2009,07,29,6,0.427771
2009,07,29,7,0.42306
2009,07,30,0,0.486642
2009,07,30,1,0.493463
2009,07,30,2,0.426576
2009,07,30,3,0.631259
2009,07,30,4,0.826605
2009,07,30,5,0.975955
2009,07,30,6,1.064981
2009,07,30,7,0.816296
2009,07,31,0,0.545309
2009,07,31,1,0.264956
2009,07,31,2,0.188926
2009,07,31,3,0.297479
2009,07,31,4,0.248161
2009,07,31,5,0.214342
2009,07,31,6,0.184407
2009,07,31,7,0.219507
2010,07,1,0,0.547776
2010,07,1,1,0.583179
2010,07,1,2,0.536116
2010,07,1,3,0.491587
2010,07,1,4,0.482064
2010,07,1,5,0.462914
2010,07,1,6,0.502101
2010,07,1,7,0.530389
2010,07,2,0,0.53746
2010,07,2,1,0.560629
2010,07,2,2,0.709083
2010,07,2,3,0.752389
2010,07,2,4,0.7701
2010,07,2,5,0.592268
2010,07,2,6,0.526177
2010,07,2,7,0.544955
2010,07,3,0,0.54393
2010,07,3,1,0.362122
2010,07,3,2,0.207788
2010,07,3,3,0.210547
2010,07,3,4,0.367049
