####################################################################################################
# Month: 09Sep                                                                                     #
# Station: PER                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,09,1,0,0.1323297,38.08863
2009,09,1,1,0.1665645,45.44299
2009,09,1,2,0.1863404,49.83318
2009,09,1,3,0.236315,60.42932
2009,09,1,4,0.3001328,73.43664
2009,09,1,5,0.2712232,67.91337
2009,09,1,6,0.3038663,74.29117
2009,09,1,7,0.3465427,82.31037
2009,09,2,0,0.3168438,76.77783
2009,09,2,1,0.3373311,80.85345
2009,09,2,2,0.3850777,89.85753
2009,09,2,3,0.4114804,94.8271
2009,09,2,4,0.4825262,106.8428
2009,09,2,5,0.6919766,136.9837
2009,09,2,6,1.029491,173.7938
2009,09,2,7,1.288806,194.4327
2009,09,3,0,1.505472,208.4856
2009,09,3,1,1.329077,198.8255
2009,09,3,2,1.280136,196.5547
2009,09,3,3,1.641644,218.8662
2009,09,3,4,2.543707,249.6495
2009,09,3,5,1.788823,225.6596
2009,09,3,6,0.6906685,137.5881
2009,09,3,7,0.3514304,84.38935
2009,09,4,0,0.403491,93.46187
2009,09,4,1,0.6683885,133.9861
2009,09,4,2,0.8030507,150.4999
2009,09,4,3,0.798071,149.5953
2009,09,4,4,0.8108484,150.7869
2009,09,4,5,0.2029635,54.26299
2009,09,4,6,0.1224588,36.29787
2009,09,4,7,0.09659813,30.11436
2009,09,5,0,0.1172373,34.65788
2009,09,5,1,0.1629959,44.74544
2009,09,5,2,0.2307707,58.94089
2009,09,5,3,0.2878055,70.04094
2009,09,5,4,0.322973,76.4377
2009,09,5,5,0.320638,76.22277
2009,09,5,6,0.2502559,62.94119
2009,09,5,7,0.2248467,57.77923
2009,09,6,0,0.2619832,64.72052
2009,09,6,1,0.3748199,84.88513
2009,09,6,2,0.4325084,95.38224
2009,09,6,3,1.269939,191.2581
2009,09,6,4,1.444714,205.2522
2009,09,6,5,1.529224,210.5263
2009,09,6,6,1.72543,221.2403
2009,09,6,7,2.131475,237.1634
2009,09,7,0,1.745858,222.1004
2009,09,7,1,1.460199,205.6827
2009,09,7,2,1.452578,205.7308
2009,09,7,3,1.786752,223.2839
2009,09,7,4,1.754998,222.0257
