####################################################################################################
# Month: 07Jul                                                                                     #
# Station: PIKE                                                                                    #
# Frequency: 230 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,07,1,0,0.2854638,69.44761
2009,07,1,1,0.2590332,64.31599
2009,07,1,2,0.189867,50.16588
2009,07,1,3,0.1358865,38.13403
2009,07,1,4,0.1365357,38.04327
2009,07,1,5,0.146909,40.30631
2009,07,1,6,0.2103421,54.15605
2009,07,1,7,0.373769,85.40916
2009,07,2,0,0.4300307,95.16454
2009,07,2,1,0.3634094,83.96744
2009,07,2,2,0.4621824,100.0906
2009,07,2,3,0.3473108,80.1638
2009,07,2,4,0.2335159,58.57787
2009,07,2,5,0.1841627,48.22637
2009,07,2,6,0.3204355,74.86198
2009,07,2,7,0.5177064,108.0224
2009,07,3,0,0.6050484,121.4874
2009,07,3,1,0.4690774,101.262
2009,07,3,2,0.4047097,90.35854
2009,07,3,3,0.3684953,83.9798
2009,07,3,4,0.2455282,60.77135
2009,07,3,5,0.327365,75.99502
2009,07,3,6,0.3815757,86.67346
2009,07,3,7,0.4577949,99.63878
2009,07,4,0,0.4862723,104.5948
2009,07,4,1,0.2754393,67.22709
2009,07,4,2,0.1402405,38.96569
2009,07,4,3,0.0760938,23.85986
2009,07,4,4,0.07644002,23.63248
2009,07,4,5,0.1922933,49.71077
2009,07,4,6,0.3051116,72.44548
2009,07,4,7,0.4740807,101.091
2009,07,5,0,0.4591836,99.56269
2009,07,5,1,0.3829845,85.91938
2009,07,5,2,0.3066242,71.97495
2009,07,5,3,0.1351179,37.64545
2009,07,5,4,0.1349178,37.55099
2009,07,5,5,0.1964662,50.7521
2009,07,5,6,0.3996064,89.03055
2009,07,5,7,0.4525355,98.23778
2009,07,6,0,0.4477136,97.86586
2009,07,6,1,0.3125557,73.87129
2009,07,6,2,0.2002897,51.86394
2009,07,6,3,0.1255314,35.62342
2009,07,6,4,0.1240851,35.24741
2009,07,6,5,0.1120345,32.44599
2009,07,6,6,0.169237,45.3311
2009,07,6,7,0.3461531,80.20772
2009,07,7,0,0.4330406,95.11849
2009,07,7,1,0.3212073,75.54502
2009,07,7,2,0.1256107,35.46897
2009,07,7,3,0.08715746,26.55805
2009,07,7,4,0.110036,31.93117
2009,07,7,5,0.1217772,34.58893
2009,07,7,6,0.1334585,37.23691
2009,07,7,7,0.1899623,49.35539
2009,07,8,0,0.2186279,55.29865
2009,07,8,1,0.1818158,47.92815
2009,07,8,2,0.09820531,29.34036
2009,07,8,3,0.06888996,22.23142
2009,07,8,4,0.06754503,21.92388
2009,07,8,5,0.04276907,15.57335
2009,07,8,6,0.06375572,20.97855
2009,07,8,7,0.1164358,33.66015
2009,07,9,0,0.132354,37.30757
2009,07,9,1,0.08053685,25.14185
2009,07,9,2,0.05178123,17.86508
2009,07,9,3,0.04159052,15.19155
2009,07,9,4,0.04408815,15.73593
2009,07,9,5,0.06165002,20.163
2009,07,9,6,0.1376538,38.27253
2009,07,9,7,0.4349886,96.05269
2009,07,10,0,0.4692123,102.1793
2009,07,10,1,0.3821766,87.41036
2009,07,10,2,0.2935488,71.21328
2009,07,10,3,0.2060332,53.43218
2009,07,10,4,0.1214385,34.29675
2009,07,10,5,0.09976987,29.01471
2009,07,10,6,0.1578128,42.52022
2009,07,10,7,0.3509565,81.04787
2009,07,11,0,0.4621551,100.5286
2009,07,11,1,0.2435863,60.98815
2009,07,11,2,0.2926906,70.87257
2009,07,11,3,0.2658398,65.54555
2009,07,11,4,0.1887507,49.64452
2009,07,11,5,0.1798591,47.51376
2009,07,11,6,0.2978309,71.19811
2009,07,11,7,0.4275756,94.92976
2009,07,12,0,0.4808561,104.7956
2009,07,12,1,0.4685241,103.2834
2009,07,12,2,0.2733793,67.56438
2009,07,12,3,0.2802178,68.72274
2009,07,12,4,0.2075041,54.1739
2009,07,12,5,0.2189167,56.42523
2009,07,12,6,0.3099487,74.21613
2009,07,12,7,0.503306,107.4554
2009,07,13,0,0.3840986,87.74055
2009,07,13,1,0.4295725,95.43292
2009,07,13,2,0.334232,78.81423
2009,07,13,3,0.2095971,54.41377
2009,07,13,4,0.1860748,49.30871
2009,07,13,5,0.2757076,67.51362
2009,07,13,6,0.391225,88.45107
2009,07,13,7,0.5207761,109.8243
2009,07,14,0,0.4343198,95.62985
2009,07,14,1,0.4215983,93.61556
2009,07,14,2,0.2602254,64.81196
2009,07,14,3,0.1820653,48.68747
2009,07,14,4,0.1836671,48.7769
2009,07,14,5,0.1727923,46.25006
2009,07,14,6,0.1569841,42.82226
2009,07,14,7,0.1993711,51.93123
2009,07,15,0,0.2368987,59.55369
2009,07,15,1,0.2664488,65.14615
2009,07,15,2,0.2453633,61.18279
2009,07,15,3,0.2271828,57.46474
2009,07,15,4,0.2666209,65.20683
2009,07,15,5,0.2344554,58.81675
2009,07,15,6,0.2477158,61.556
2009,07,15,7,0.3241192,76.32153
2009,07,16,0,0.3183473,75.21237
2009,07,16,1,0.2562438,63.45723
2009,07,16,2,0.1461222,40.14992
2009,07,16,3,0.1205556,34.36945
2009,07,16,4,0.1116357,32.30217
2009,07,16,5,0.07378716,23.19702
2009,07,16,6,0.06443074,20.90849
2009,07,16,7,0.100612,29.57139
2009,07,17,0,0.1198477,33.93752
2009,07,17,1,0.0843595,25.73453
2009,07,17,2,0.08486298,25.79837
2009,07,17,3,0.1373865,37.90002
2009,07,17,4,0.1928279,50.01359
2009,07,17,5,0.1102561,31.63579
2009,07,17,6,0.1068221,30.73736
2009,07,17,7,0.1698081,44.9327
2009,07,18,0,0.2170835,55.02411
2009,07,18,1,0.1747811,46.34887
2009,07,18,2,0.1190495,33.82032
2009,07,18,3,0.1467979,40.22825
