####################################################################################################
# Month: 06Jun                                                                                     #
# Station: ROB                                                                                     #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
2009,06,1,0,0.363298
2009,06,1,1,0.747841
2009,06,1,2,0.482023
2009,06,1,3,0.448634
2009,06,1,4,0.446211
2009,06,1,5,0.39217
2009,06,1,6,0.330792
2009,06,1,7,0.254113
2009,06,2,0,0.176903
2009,06,2,1,0.149504
2009,06,2,2,0.166306
2009,06,2,3,0.209324
2009,06,2,4,0.250196
2009,06,2,5,0.27388
2009,06,2,6,0.258289
2009,06,2,7,0.209763
2009,06,3,0,0.189906
2009,06,3,1,0.202175
2009,06,3,2,0.222018
2009,06,3,3,0.254847
2009,06,3,4,0.26341
2009,06,3,5,0.251777
2009,06,3,6,0.256342
2009,06,3,7,0.291361
2009,06,4,0,0.324979
2009,06,4,1,0.304682
2009,06,4,2,0.251635
2009,06,4,3,0.279801
2009,06,4,4,0.38279
2009,06,4,5,0.325123
2009,06,4,6,0.175164
2009,06,4,7,0.107689
2009,06,5,0,0.079814
2009,06,5,1,0.052756
2009,06,5,2,0.032323
2009,06,5,3,0.025558
2009,06,5,4,0.042117
2009,06,5,5,0.057853
2009,06,5,6,0.064713
2009,06,5,7,0.056844
2009,06,6,0,0.059568
2009,06,6,1,0.091222
2009,06,6,2,0.091559
2009,06,6,3,0.072989
2009,06,6,4,0.07079
2009,06,6,5,0.081593
2009,06,6,6,0.080063
2009,06,6,7,0.077651
2009,06,7,0,0.087687
2009,06,7,1,0.094126
2009,06,7,2,0.12279
2009,06,7,3,0.140699
2009,06,7,4,0.15428
2009,06,7,5,0.166562
2009,06,7,6,0.177305
2009,06,7,7,0.155821
2009,06,8,0,0.106706
2009,06,8,1,0.13259
2009,06,8,2,0.192853
2009,06,8,3,0.240242
2009,06,8,4,0.246435
2009,06,8,5,0.248029
2009,06,8,6,0.206802
2009,06,8,7,0.189463
2009,06,9,0,0.191536
2009,06,9,1,0.206592
2009,06,9,2,0.174149
2009,06,9,3,0.182237
2009,06,9,4,0.200306
2009,06,9,5,0.213324
2009,06,9,6,0.226966
2009,06,9,7,0.227495
2009,06,10,0,0.243405
2009,06,10,1,0.232486
2009,06,10,2,0.169731
2009,06,10,3,0.112008
2009,06,10,4,0.098512
2009,06,10,5,0.136219
2009,06,10,6,0.146425
2009,06,10,7,0.16643
2009,06,11,0,0.163721
2009,06,11,1,0.118966
2009,06,11,2,0.090547
2009,06,11,3,0.060548
2009,06,11,4,0.043053
2009,06,11,5,0.0359
2009,06,11,6,0.031683
2009,06,11,7,0.028956
2009,06,12,0,0.033812
2009,06,12,1,0.034457
2009,06,12,2,0.023645
2009,06,12,3,0.018373
2009,06,12,4,0.011702
2009,06,12,5,0.012538
2009,06,12,6,0.036674
2009,06,12,7,0.05446
2009,06,13,0,0.066291
2009,06,13,1,0.0731
2009,06,13,2,0.079468
2009,06,13,3,0.046704
2009,06,13,4,0.036395
2009,06,13,5,0.04507
2009,06,13,6,0.055521
2009,06,13,7,0.068552
2009,06,14,0,0.091542
2009,06,14,1,0.096201
2009,06,14,2,0.149275
2009,06,14,3,0.438761
2009,06,14,4,0.807391
2009,06,14,5,0.863719
2009,06,14,6,0.807502
2009,06,14,7,0.825551
2009,06,15,0,0.877606
2009,06,15,1,0.704787
2009,06,15,2,0.725591
2009,06,15,3,0.600492
2009,06,15,4,0.320632
2009,06,15,5,0.359378
2009,06,15,6,0.271552
2009,06,15,7,0.118945
2009,06,16,0,0.062789
2009,06,16,1,0.088826
2009,06,16,2,0.150572
2009,06,16,3,0.145458
2009,06,16,4,0.149387
2009,06,16,5,0.120524
2009,06,16,6,0.113476
2009,06,16,7,0.120225
2009,06,17,0,0.159192
2009,06,17,1,0.180436
2009,06,17,2,0.152052
2009,06,17,3,0.224056
2009,06,17,4,0.343557
2009,06,17,5,0.466075
2009,06,17,6,0.380034
2009,06,17,7,0.279356
2009,06,18,0,0.402113
2009,06,18,1,0.545816
2009,06,18,2,0.563342
2009,06,18,3,0.535337
2009,06,18,4,0.302223
2009,06,18,5,0.277107
2009,06,18,6,0.39636
2009,06,18,7,0.312286
2009,06,19,0,0.311988
2009,06,19,1,0.285793
2009,06,19,2,-0.006346
2009,06,19,3,0.345405
2009,06,19,4,0.644958
2009,06,19,5,0.82757
2009,06,19,6,0.916436
2009,06,19,7,0.992708
2009,06,20,0,1.020258
2009,06,20,1,1.181434
2009,06,20,2,0.890489
2009,06,20,3,0.899224
2009,06,20,4,0.773821
2009,06,20,5,0.635827
2009,06,20,6,0.597004
2009,06,20,7,0.48427
2009,06,21,0,0.353198
2009,06,21,1,0.184296
2009,06,21,2,0.113371
2009,06,21,3,0.114227
2009,06,21,4,0.086511
2009,06,21,5,0.082704
2009,06,21,6,0.102783
2009,06,21,7,0.144718
2009,06,22,0,0.093654
2009,06,22,1,0.0702
2009,06,22,2,0.05007
2009,06,22,3,0.052304
2009,06,22,4,0.045568
2009,06,22,5,0.048335
2009,06,22,6,0.08095
2009,06,22,7,0.109789
2009,06,23,0,0.136964
2009,06,23,1,0.154772
2009,06,23,2,0.148119
2009,06,23,3,0.12816
2009,06,23,4,0.110723
2009,06,23,5,0.11995
2009,06,23,6,0.134348
2009,06,23,7,0.165802
2009,06,24,0,0.185263
2009,06,24,1,0.219354
2009,06,24,2,0.263879
2009,06,24,3,0.315177
2009,06,24,4,0.315518
2009,06,24,5,0.194352
2009,06,24,6,0.284146
2009,06,24,7,0.29594
2009,06,25,0,0.239986
2009,06,25,1,0.207881
2009,06,25,2,0.262907
2009,06,25,3,0.34048
2009,06,25,4,0.337184
2009,06,25,5,0.319852
2009,06,25,6,0.506136
2009,06,25,7,0.550594
2009,06,26,0,0.484338
2009,06,26,1,0.421109
2009,06,26,2,0.426053
2009,06,26,3,0.398256
2009,06,26,4,0.388283
2009,06,26,5,0.507403
2009,06,26,6,0.459304
2009,06,26,7,0.443089
2009,06,27,0,0.599821
2009,06,27,1,0.54961
2009,06,27,2,0.524785
2009,06,27,3,0.504537
2009,06,27,4,0.460837
2009,06,27,5,0.411419
2009,06,27,6,0.403914
2009,06,27,7,0.529965
2009,06,28,0,0.71356
2009,06,28,1,0.872379
2009,06,28,2,0.969618
2009,06,28,3,0.956011
2009,06,28,4,0.968688
2009,06,28,5,0.943809
2009,06,28,6,0.989709
2009,06,28,7,0.953115
2009,06,29,0,0.963013
2009,06,29,1,0.928303
2009,06,29,2,0.884352
2009,06,29,3,0.705809
2009,06,29,4,0.469112
2009,06,29,5,0.331953
2009,06,29,6,0.141004
2009,06,29,7,0.148857
2009,06,30,0,0.168954
2009,06,30,1,0.18352
2009,06,30,2,0.179037
2009,06,30,3,0.115627
2009,06,30,4,0.112181
2009,06,30,5,0.453505
2009,06,30,6,0.937438
2009,06,30,7,0.990949
2010,06,1,0,0.116728
2010,06,1,1,0.168219
2010,06,1,2,0.121921
2010,06,1,3,0.175646
2010,06,1,4,0.230996
2010,06,1,5,0.232499
2010,06,1,6,0.185606
2010,06,1,7,0.220013
2010,06,2,0,0.190191
2010,06,2,1,0.188344
2010,06,2,2,0.203203
2010,06,2,3,0.210299
2010,06,2,4,0.210405
2010,06,2,5,0.2351
2010,06,2,6,0.337236
2010,06,2,7,0.339209
2010,06,3,0,0.317155
2010,06,3,1,0.308553
2010,06,3,2,0.346155
2010,06,3,3,0.356063
2010,06,3,4,0.283336
2010,06,3,5,0.272895
