####################################################################################################
# Month: 09Sep                                                                                     #
# Station: RPU                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,09,1,0,1.324476,197.5939
2009,09,1,1,1.523284,209.667
2009,09,1,2,1.655296,216.7654
2009,09,1,3,1.506081,208.7513
2009,09,1,4,0.9025195,160.2807
2009,09,1,5,0.7528375,143.3013
2009,09,1,6,0.3083033,74.87527
2009,09,1,7,0.195085,52.01854
2009,09,2,0,0.4560085,100.9601
2009,09,2,1,0.7924339,148.1485
2009,09,2,2,0.171255,46.46247
2009,09,2,3,0.1245821,35.92397
2009,09,2,4,0.1342068,38.20382
2009,09,2,5,0.1422294,39.96889
2009,09,2,6,0.1768195,47.63257
2009,09,2,7,0.2489231,62.71343
2009,09,3,0,0.4565858,100.729
2009,09,3,1,0.8148211,149.571
2009,09,3,2,0.8918241,157.2504
2009,09,3,3,0.5409201,112.6991
2009,09,3,4,0.4682985,101.0165
2009,09,3,5,0.4816719,102.6887
2009,09,3,6,0.3265648,76.64472
2009,09,3,7,0.3227299,76.1887
2009,09,4,0,0.4727371,101.9378
2009,09,4,1,0.54786,113.4464
2009,09,4,2,0.1808351,48.24965
2009,09,4,3,0.1481793,40.90957
2009,09,4,4,0.1838967,48.71215
2009,09,4,5,0.2347559,59.3437
2009,09,4,6,0.2606373,64.70901
2009,09,4,7,0.2927921,71.4649
2009,09,5,0,0.3835682,88.16472
2009,09,5,1,0.3167786,76.21207
2009,09,5,2,0.2331029,59.63597
2009,09,5,3,0.2344607,59.67162
2009,09,5,4,0.3144407,76.18492
2009,09,5,5,0.3106007,75.77567
2009,09,5,6,0.7372958,142.4149
2009,09,5,7,0.5048388,109.9568
2009,09,6,0,0.383368,89.97683
2009,09,6,1,0.3343749,81.07424
2009,09,6,2,0.2123459,56.59335
2009,09,6,3,0.2311971,60.01653
2009,09,6,4,0.3299808,79.37069
2009,09,6,5,0.359543,84.86438
2009,09,6,6,0.334017,79.97148
2009,09,6,7,0.2595271,65.48502
2009,09,7,0,0.2297338,59.63783
2009,09,7,1,0.2302129,59.97111
2009,09,7,2,0.2510593,64.57224
2009,09,7,3,0.2690366,68.29098
2009,09,7,4,0.2557169,65.58542
2009,09,7,5,0.2401362,62.3071
2009,09,7,6,0.2512834,64.47254
2009,09,7,7,0.2551986,65.28539
2009,09,8,0,0.2326586,60.78035
2009,09,8,1,0.2061498,55.29243
2009,09,8,2,0.2025557,54.19805
2009,09,8,3,0.1858653,50.05384
2009,09,8,4,0.1830133,48.9602
2009,09,8,5,0.2014485,52.43286
2009,09,8,6,0.1468462,41.01757
2009,09,8,7,0.1210802,35.37528
2009,09,9,0,0.1214962,35.6496
2009,09,9,1,0.1199122,35.39394
2009,09,9,2,0.1137641,34.01307
2009,09,9,3,0.1092579,32.90764
2009,09,9,4,0.1122755,33.66956
2009,09,9,5,0.1189195,35.32939
2009,09,9,6,0.1321629,38.48176
2009,09,9,7,0.1590702,44.69422
2009,09,10,0,0.1749972,48.27916
2009,09,10,1,0.1861394,50.70811
2009,09,10,2,0.3382284,79.23189
2009,09,10,3,0.907681,157.6538
2009,09,10,4,0.9050949,157.2955
2009,09,10,5,0.876508,153.3359
2009,09,10,6,0.8164992,147.4425
2009,09,10,7,1.222937,187.3935
2009,09,11,0,1.745429,220.1041
2009,09,11,1,1.688868,218.3105
2009,09,11,2,1.917919,230.2116
2009,09,11,3,2.455383,246.3911
2009,09,11,4,1.959969,231.3288
2009,09,11,5,1.210097,188.8957
2009,09,11,6,1.119647,178.6684
2009,09,11,7,1.538872,209.7933
2009,09,12,0,2.059784,234.4603
2009,09,12,1,2.538156,247.5892
2009,09,12,2,2.552828,247.9402
2009,09,12,3,2.241589,240.3779
2009,09,12,4,2.230308,239.8151
2009,09,12,5,2.199109,239.837
2009,09,12,6,1.783594,225.5476
2009,09,12,7,1.241402,194.2603
2009,09,13,0,0.7535796,146.2402
2009,09,13,1,0.7353473,144.0092
2009,09,13,2,0.5493046,117.3734
2009,09,13,3,0.5154951,112.4758
2009,09,13,4,0.5900335,124.2779
2009,09,13,5,0.6747802,136.452
2009,09,13,6,0.7250306,143.0831
2009,09,13,7,0.7458445,145.4726
2009,09,14,0,0.8216955,154.7601
2009,09,14,1,0.8116132,153.9213
2009,09,14,2,0.7388683,145.3706
2009,09,14,3,0.7613897,148.2994
2009,09,14,4,0.7194378,142.7635
2009,09,14,5,0.5080619,111.3741
2009,09,14,6,0.4003238,92.55112
2009,09,14,7,0.6449626,131.5378
2009,09,15,0,0.9182486,164.2007
2009,09,15,1,0.8982043,162.2782
2009,09,15,2,1.000068,173.0278
2009,09,15,3,1.265664,196.1238
2009,09,15,4,1.246777,194.8248
2009,09,15,5,1.131458,185.7477
2009,09,15,6,1.041841,177.5023
2009,09,15,7,0.9032618,162.9134
2009,09,16,0,0.8662461,158.6179
2009,09,16,1,1.219349,191.7433
2009,09,16,2,2.214607,240.8358
2009,09,16,3,1.738108,222.7754
2009,09,16,4,1.986321,232.4846
