####################################################################################################
# Month: 05May                                                                                     #
# Station: SAS                                                                                     #
# Columns are: year    month   day     RH (percent)                                                #
####################################################################################################
year,month,day,RH
2009,05,1,0.35126188
2009,05,2,0.32634212
2009,05,3,0.21404612
2009,05,4,0.13924212
2009,05,5,0.13665188
2009,05,6,0.38412375
2009,05,7,0.17054488
2009,05,8,0.20838638
2009,05,9,0.43364988
2009,05,10,0.134634
2009,05,11,0.17562375
2009,05,12,0.42955388
2009,05,13,0.29381675
2009,05,14,0.05297662
2009,05,15,0.14060325
2009,05,16,0.088952
2009,05,17,0.15797213
2009,05,18,0.30611675
2009,05,19,0.58489813
2009,05,20,0.757127
2009,05,21,0.40191562
2009,05,22,0.29429288
2009,05,23,0.22574338
2009,05,24,0.20435775
2009,05,25,0.15617
2009,05,26,0.22169862
2009,05,27,0.34856062
2009,05,28,0.33563212
2009,05,29,0.48677712
2009,05,30,0.15015275
2009,05,31,0.07629975
2010,05,1,0.92227875
2010,05,2,0.6409195
2010,05,3,0.1166685
2010,05,4,0.09183075
2010,05,5,0.05679788
2010,05,6,0.03479975
2010,05,7,0.1254595
2010,05,8,0.15910913
2010,05,9,0.11272788
2010,05,10,0.02850375
2010,05,11,0.01947762
2010,05,12,0.05163975
2010,05,13,0.23345012
2010,05,14,0.70894325
2010,05,15,0.82245175
2010,05,16,0.9036215
2010,05,17,0.51895825
2010,05,18,0.070011
2010,05,19,0.25252662
2010,05,20,0.513555
2010,05,21,0.6602365
2010,05,22,0.70664925
2010,05,23,0.57687575
2010,05,24,0.18055862
2010,05,25,0.55208225
2010,05,26,0.78984225
2010,05,27,0.93212338
2010,05,28,0.92663212
2010,05,29,0.71357375
2010,05,30,0.40994825
2010,05,31,0.54823412
2011,05,1,0.06914725
2011,05,2,0.40136175
2011,05,3,0.33528488
2011,05,4,0.20564312
2011,05,5,0.67991637
2011,05,6,0.69330463
2011,05,7,0.48014713
2011,05,8,0.69488888
2011,05,9,0.43300838
2011,05,10,0.66358725
2011,05,11,0.79829775
2011,05,12,0.40985112
2011,05,13,0.18739162
2011,05,14,0.134998
2011,05,15,0.23466925
2011,05,16,0.13519812
2011,05,17,0.10947963
2011,05,18,0.23012988
2011,05,19,0.28371288
2011,05,20,0.21500412
2011,05,21,0.54843162
2011,05,22,0.75535512
2011,05,23,0.84373838
2011,05,24,0.72882275
2011,05,25,0.61841813
2011,05,26,0.71176338
2011,05,27,0.70398288
2011,05,28,0.52452875
2011,05,29,0.23891812
2011,05,30,0.17921675
2011,05,31,0.16171225
2012,05,1,0.38739375
2012,05,2,0.77364838
2012,05,3,0.65710862
2012,05,4,0.4719325
2012,05,5,0.439936
2012,05,6,0.66568675
2012,05,7,0.513332
2012,05,8,0.38521638
2012,05,9,0.380537
2012,05,10,0.2667055
2012,05,11,0.27971775
2012,05,12,0.56395588
2012,05,13,0.669247
2012,05,14,0.19448663
2012,05,15,0.1334085
2012,05,16,0.09169338
2012,05,17,0.09754338
2012,05,18,0.25004925
2012,05,19,0.27411875
2012,05,20,0.27244175
2012,05,21,0.30523025
2012,05,22,0.33032188
2012,05,23,0.25903375
2012,05,24,0.21825737
2012,05,25,0.18073112
2012,05,26,0.106883
2012,05,27,0.10919112
2012,05,28,0.180491
2012,05,29,0.18241425
2012,05,30,0.23770987
2012,05,31,0.38179638
2013,05,1,0.60952913
2013,05,2,0.60070388
2013,05,3,0.4375285
2013,05,4,0.48820188
2013,05,5,0.29848962
2013,05,6,0.8041675
2013,05,7,0.76888762
2013,05,8,0.58672288
2013,05,9,0.40674487
2013,05,10,0.43851212
2013,05,11,0.382628
2013,05,12,0.427995
2013,05,13,0.23940138
2013,05,14,0.30581925
2013,05,15,0.7097425
2013,05,16,0.835036
2013,05,17,0.94716488
2013,05,18,0.93491175
2013,05,19,0.86164175
2013,05,20,0.89400212
2013,05,21,0.78583412
2013,05,22,0.610603
2013,05,23,0.46711538
2013,05,24,0.59153088
2013,05,25,0.61568663
2013,05,26,0.3113185
2013,05,27,0.15408525
2013,05,28,0.08431
2013,05,29,0.07481725
2013,05,30,0.04118337
2013,05,31,0.10873425
2014,05,1,0.0694425
2014,05,2,0.05809225
2014,05,3,0.49548238
2014,05,4,0.5351895
2014,05,5,0.39815088
2014,05,6,0.1841235
2014,05,7,0.39297538
2014,05,8,0.562388
2014,05,9,0.68129538
2014,05,10,0.318374
2014,05,11,0.56650988
2014,05,12,0.65322162
2014,05,13,0.79111462
2014,05,14,0.43069575
2014,05,15,0.32891238
2014,05,16,0.2959055
2014,05,17,0.0730145
2014,05,18,0.18636525
2014,05,19,0.14163912
2014,05,20,0.27835225
2014,05,21,0.4086835
2014,05,22,0.51476425
2014,05,23,0.75965738
2014,05,24,0.4397965
2014,05,25,0.07329462
2014,05,26,0.04321538
2014,05,27,0.062076
2014,05,28,0.10964575
2014,05,29,0.17388112
2014,05,30,0.2791445
2014,05,31,0.08781238
2015,05,1,0.65265888
2015,05,2,0.16297412
2015,05,3,0.14080025
2015,05,4,0.09759175
2015,05,5,0.135592
2015,05,6,0.21711225
2015,05,7,0.81441125
2015,05,8,0.82092375
2015,05,9,0.57812088
2015,05,10,0.20934788
2015,05,11,0.58283762
2015,05,12,0.43654075
2015,05,13,0.36885612
2015,05,14,0.27615575
2015,05,15,0.17244212
2015,05,16,0.473511
2015,05,17,0.75017162
2015,05,18,0.51524712
2015,05,19,0.33613188
2015,05,20,0.18279775
2015,05,21,0.13597625
2015,05,22,0.15083087
2015,05,23,0.11290912
2015,05,24,0.126013
2015,05,25,0.52593575
2015,05,26,0.86962175
2015,05,27,0.30659412
2015,05,28,0.09430862
2015,05,29,0.09669212
2015,05,30,0.0627945
2015,05,31,0.18167412
2016,05,1,0.55723875
2016,05,2,0.48239238
2016,05,3,0.46702738
2016,05,4,0.69559462
2016,05,5,0.41639175
2016,05,6,0.26932238
2016,05,7,0.17078688
2016,05,8,0.25346662
2016,05,9,0.34774162
2016,05,10,0.36617462
2016,05,11,0.29701125
2016,05,12,0.14881512
2016,05,13,0.52401713
2016,05,14,0.51621338
2016,05,15,0.25686637
2016,05,16,0.289013
2016,05,17,0.25547025
2016,05,18,0.16995825
2016,05,19,0.11953625
2016,05,20,0.07719062
2016,05,21,0.115008
2016,05,22,0.11394362
2016,05,23,0.32509312
2016,05,24,0.31809712
2016,05,25,0.30920175
2016,05,26,0.24503312
2016,05,27,0.101051
2016,05,28,0.245131
2016,05,29,0.166476
2016,05,30,0.11411588
2016,05,31,0.07940975
2017,05,1,0.434331
2017,05,2,0.17210138
2017,05,3,0.32787212
2017,05,4,0.307005
2017,05,5,0.1942675
2017,05,6,0.61492112
2017,05,7,0.62866875
2017,05,8,0.45888662
2017,05,9,0.699979
2017,05,10,0.88136975
2017,05,11,0.79606788
2017,05,12,0.54749488
2017,05,13,0.167778
2017,05,14,0.23300625
2017,05,15,0.16778825
2017,05,16,0.4836015
2017,05,17,0.58190925
2017,05,18,0.37022975
2017,05,19,0.18146388
2017,05,20,0.30374512
2017,05,21,0.17656988
2017,05,22,0.79863575
2017,05,23,0.8615535
2017,05,24,0.927062
2017,05,25,0.90944975
2017,05,26,0.92665
2017,05,27,0.84696375
2017,05,28,0.91062388
2017,05,29,0.915888
2017,05,30,0.80230462
2017,05,31,0.1750635
2018,05,1,0.585008
2018,05,2,0.55356088
2018,05,3,0.61090888
2018,05,4,0.215711
2018,05,5,0.279908
2018,05,6,0.77589725
2018,05,7,0.42851575
2018,05,8,0.68054362
2018,05,9,0.8844385
2018,05,10,0.34269638
2018,05,11,0.07993625
2018,05,12,0.11652738
2018,05,13,0.1198315
2018,05,14,0.08865712
2018,05,15,0.066283
2018,05,16,0.06561188
2018,05,17,0.24603775
2018,05,18,0.05509338
2018,05,19,0.1638565
2018,05,20,0.32866275
2018,05,21,0.16440125
2018,05,22,0.21429912
2018,05,23,0.29052062
2018,05,24,0.2770545
2018,05,25,0.31513738
2018,05,26,0.38086287
2018,05,27,0.37970975
2018,05,28,0.40292525
2018,05,29,0.08017075
2018,05,30,0.03481962
2018,05,31,0.03717188
