####################################################################################################
# Month: 09Sep                                                                                     #
# Station: SMA                                                                                     #
# Frequency: 345 GHz                                                                               #
# Columns are: year    month   day     segment         tau     Tb (K)                              #
####################################################################################################
year,month,day,segment,tau,Tb
2009,09,1,0,0.2897491,71.22152
2009,09,1,1,0.2593504,65.24262
2009,09,1,2,0.2748404,68.39961
2009,09,1,3,0.2904021,71.63928
2009,09,1,4,0.2624507,66.33591
2009,09,1,5,0.2353275,60.80867
2009,09,1,6,0.2199368,57.64214
2009,09,1,7,0.209783,55.40546
2009,09,2,0,0.2114395,55.64659
2009,09,2,1,0.2216811,57.7793
2009,09,2,2,0.2375703,61.12541
2009,09,2,3,0.2349529,60.73084
2009,09,2,4,0.2170905,57.23743
2009,09,2,5,0.2236202,58.37651
2009,09,2,6,0.22202,57.86502
2009,09,2,7,0.2289784,59.05385
2009,09,3,0,0.2635982,65.7602
2009,09,3,1,0.321106,77.02605
2009,09,3,2,0.4094806,92.95847
2009,09,3,3,0.3921749,90.36418
2009,09,3,4,0.2555033,65.2648
2009,09,3,5,0.1672945,46.65812
2009,09,3,6,0.13805,40.07632
2009,09,3,7,0.156821,43.932
2009,09,4,0,0.1856479,49.87927
2009,09,4,1,0.2033054,53.55226
2009,09,4,2,0.235912,60.33201
2009,09,4,3,0.2347724,60.17879
2009,09,4,4,0.2163131,56.3106
2009,09,4,5,0.1952431,51.88937
2009,09,4,6,0.177311,48.17155
2009,09,4,7,0.1595713,44.3493
2009,09,5,0,0.1520653,42.65939
2009,09,5,1,0.1528702,42.79424
2009,09,5,2,0.1575734,43.84105
2009,09,5,3,0.1555804,43.47319
2009,09,5,4,0.1444762,41.12732
2009,09,5,5,0.1402669,40.32342
2009,09,5,6,0.1495968,42.50057
2009,09,5,7,0.1619095,45.27005
2009,09,6,0,0.1781888,48.59941
2009,09,6,1,0.2075787,54.46712
2009,09,6,2,0.2327316,59.34512
2009,09,6,3,0.2522877,63.48833
2009,09,6,4,0.2451547,62.23426
2009,09,6,5,0.2184588,56.89349
2009,09,6,6,0.2299544,59.46183
2009,09,6,7,0.249179,63.41642
2009,09,7,0,0.3558796,83.32142
2009,09,7,1,0.4738154,103.0972
2009,09,7,2,0.4701022,102.4234
2009,09,7,3,0.4023405,91.12715
2009,09,7,4,0.3000611,72.54802
2009,09,7,5,0.233249,59.20785
2009,09,7,6,0.1882941,49.91402
2009,09,7,7,0.1523796,42.3464
2009,09,8,0,0.1322541,37.96938
2009,09,8,1,0.1207256,35.34924
2009,09,8,2,0.127073,36.81975
2009,09,8,3,0.1320811,37.93815
2009,09,8,4,0.1250323,36.14817
2009,09,8,5,0.1170001,34.32902
2009,09,8,6,0.1158919,34.28617
2009,09,8,7,0.1120525,33.59416
2009,09,9,0,0.1117112,33.60617
2009,09,9,1,0.1104888,33.37031
2009,09,9,2,0.1129753,33.9747
2009,09,9,3,0.1141199,34.24995
2009,09,9,4,0.1070349,32.5675
2009,09,9,5,0.1001551,30.95714
2009,09,9,6,0.09722966,30.30636
2009,09,9,7,0.09821627,30.43377
2009,09,10,0,0.09396931,29.31376
2009,09,10,1,0.09177545,28.88179
2009,09,10,2,0.1156093,34.59221
2009,09,10,3,0.1426802,40.78858
2009,09,10,4,0.1589654,44.34081
2009,09,10,5,0.1881818,50.50984
2009,09,10,6,0.2186825,56.88306
2009,09,10,7,0.2557866,64.1151
2009,09,11,0,0.2998223,72.54349
2009,09,11,1,0.3273871,77.92561
2009,09,11,2,0.3186825,76.34723
2009,09,11,3,0.3148585,75.68724
2009,09,11,4,0.2548077,63.70726
2009,09,11,5,0.2341977,59.39811
2009,09,11,6,0.281653,68.77003
2009,09,11,7,0.3061391,73.67742
2009,09,12,0,0.343695,80.88294
2009,09,12,1,0.3553984,82.81859
2009,09,12,2,0.3584162,83.57648
2009,09,12,3,0.4086272,93.17547
2009,09,12,4,0.4527065,101.0606
2009,09,12,5,0.4497447,100.5993
2009,09,12,6,0.4456795,99.82651
2009,09,12,7,0.3917674,90.41282
2009,09,13,0,0.3356343,80.23978
2009,09,13,1,0.2936333,72.31625
2009,09,13,2,0.2840767,70.55813
2009,09,13,3,0.2966172,72.9681
2009,09,13,4,0.2863517,70.93755
