####################################################################################################
# Month: 06Jun                                                                                     #
# Station: SMT                                                                                     #
# Columns are: year    month   day     segment         windspeed (m/s)                             #
####################################################################################################
year,month,day,segment,windspeed
2009,06,1,0,6.237055
2009,06,1,1,5.992079
2009,06,1,2,4.863739
2009,06,1,3,3.627319
2009,06,1,4,3.823201
2009,06,1,5,3.885158
2009,06,1,6,2.724043
2009,06,1,7,4.786415
2009,06,2,0,5.579978
2009,06,2,1,5.497722
2009,06,2,2,4.744398
2009,06,2,3,4.12974
2009,06,2,4,4.209843
2009,06,2,5,4.7297
2009,06,2,6,3.665639
2009,06,2,7,4.546271
2009,06,3,0,5.005524
2009,06,3,1,3.659362
2009,06,3,2,2.952182
2009,06,3,3,2.857153
2009,06,3,4,1.817545
2009,06,3,5,2.205925
2009,06,3,6,1.616038
2009,06,3,7,2.115789
2009,06,4,0,2.818523
2009,06,4,1,2.63196
2009,06,4,2,3.270542
2009,06,4,3,3.600819
2009,06,4,4,5.995232
2009,06,4,5,8.829472
2009,06,4,6,9.057285
2009,06,4,7,7.902877
2009,06,5,0,8.123399
2009,06,5,1,8.37022
2009,06,5,2,12.890471
2009,06,5,3,14.049278
2009,06,5,4,16.456509
2009,06,5,5,14.102769
2009,06,5,6,14.032495
2009,06,5,7,14.665207
2009,06,6,0,15.31051
2009,06,6,1,17.412771
2009,06,6,2,19.103164
2009,06,6,3,19.472265
2009,06,6,4,20.84439
2009,06,6,5,21.839792
2009,06,6,6,21.257783
2009,06,6,7,18.001335
2009,06,7,0,17.297188
2009,06,7,1,18.843396
2009,06,7,2,20.03907
2009,06,7,3,21.513902
2009,06,7,4,21.163996
2009,06,7,5,18.648395
2009,06,7,6,15.83529
2009,06,7,7,11.527633
2009,06,8,0,8.929809
2009,06,8,1,9.805507
2009,06,8,2,13.701615
2009,06,8,3,14.640236
2009,06,8,4,15.671988
2009,06,8,5,16.225841
2009,06,8,6,13.507552
2009,06,8,7,11.0102
2009,06,9,0,11.253501
2009,06,9,1,7.474473
2009,06,9,2,17.935826
2009,06,9,3,18.310112
2009,06,9,4,16.591021
2009,06,9,5,18.079069
2009,06,9,6,16.814388
2009,06,9,7,14.524275
2009,06,10,0,11.031798
2009,06,10,1,9.421597
2009,06,10,2,16.368659
2009,06,10,3,21.702532
2009,06,10,4,19.409053
2009,06,10,5,18.621875
2009,06,10,6,14.262516
2009,06,10,7,12.274989
2009,06,11,0,10.935611
2009,06,11,1,10.79771
2009,06,11,2,11.919222
2009,06,11,3,13.108574
2009,06,11,4,15.229624
2009,06,11,5,18.345467
2009,06,11,6,17.495558
2009,06,11,7,14.567402
2009,06,12,0,14.313605
2009,06,12,1,15.213917
2009,06,12,2,16.846242
2009,06,12,3,17.665897
2009,06,12,4,18.057535
2009,06,12,5,17.06636
2009,06,12,6,15.077878
2009,06,12,7,11.954738
2009,06,13,0,10.656386
2009,06,13,1,10.609118
2009,06,13,2,13.184162
2009,06,13,3,14.43294
2009,06,13,4,14.642296
2009,06,13,5,18.869712
2009,06,13,6,15.180116
2009,06,13,7,12.595798
2009,06,14,0,12.520393
2009,06,14,1,11.522106
2009,06,14,2,13.389339
2009,06,14,3,16.273452
2009,06,14,4,17.975186
2009,06,14,5,19.221043
2009,06,14,6,16.551073
2009,06,14,7,14.057325
2009,06,15,0,13.884581
2009,06,15,1,15.39758
2009,06,15,2,17.268535
2009,06,15,3,18.003998
2009,06,15,4,17.744873
2009,06,15,5,16.095017
2009,06,15,6,12.834316
2009,06,15,7,9.365137
2009,06,16,0,9.564127
2009,06,16,1,9.84024
2009,06,16,2,13.0525
2009,06,16,3,13.938212
2009,06,16,4,14.512707
2009,06,16,5,15.554145
2009,06,16,6,13.892267
2009,06,16,7,10.146751
2009,06,17,0,9.847266
2009,06,17,1,10.066181
2009,06,17,2,15.081036
2009,06,17,3,16.032282
2009,06,17,4,18.043709
2009,06,17,5,19.633155
2009,06,17,6,17.84543
2009,06,17,7,14.976739
