####################################################################################################
# Month: 04Apr                                                                                     #
# Station: SPX                                                                                     #
# Columns are: year    month   day     RH (percent)                                                #
####################################################################################################
year,month,day,RH
2009,04,1,0.59729437
2009,04,2,0.7219535
2009,04,3,0.52018687
2009,04,4,0.75379138
2009,04,5,0.73684138
2009,04,6,0.48223988
2009,04,7,0.48402988
2009,04,8,0.7797615
2009,04,9,0.49856825
2009,04,10,0.45352712
2009,04,11,0.6903805
2009,04,12,0.50273988
2009,04,13,0.27510775
2009,04,14,0.35318
2009,04,15,0.62543412
2009,04,16,0.8664115
2009,04,17,0.621219
2009,04,18,0.61995175
2009,04,19,0.82361175
2009,04,20,0.76701462
2009,04,21,0.60141725
2009,04,22,0.25441938
2009,04,23,0.38928012
2009,04,24,0.62133575
2009,04,25,0.539843
2009,04,26,0.64667412
2009,04,27,0.84232025
2009,04,28,0.96053612
2009,04,29,0.78337188
2009,04,30,0.64255875
2010,04,1,0.822819
2010,04,2,0.6844415
2010,04,3,0.93718912
2010,04,4,0.764368
2010,04,5,0.44779362
2010,04,6,0.21001362
2010,04,7,0.36129738
2010,04,8,0.51289888
2010,04,9,0.24835262
2010,04,10,0.50371262
2010,04,11,0.44252575
2010,04,12,0.7432305
2010,04,13,0.6073275
2010,04,14,0.86305788
2010,04,15,0.942735
2010,04,16,0.57497825
2010,04,17,0.29129875
2010,04,18,0.48694425
2010,04,19,0.19560912
2010,04,20,0.386377
2010,04,21,0.17743275
2010,04,22,0.51083525
2010,04,23,0.81650412
2010,04,24,0.4323425
2010,04,25,0.40120162
2010,04,26,0.53806212
2010,04,27,0.57495338
2010,04,28,0.2179
2010,04,29,0.518042
2010,04,30,0.918513
2011,04,1,0.41965938
2011,04,2,0.26306862
2011,04,3,0.54402562
2011,04,4,0.59483275
2011,04,5,0.48926225
2011,04,6,0.52419087
2011,04,7,0.28715112
2011,04,8,0.20074238
2011,04,9,0.39035462
2011,04,10,0.24693262
2011,04,11,0.31927638
2011,04,12,0.43548312
2011,04,13,0.1938005
2011,04,14,0.84760725
2011,04,15,0.35205175
2011,04,16,0.23232988
2011,04,17,0.07596875
2011,04,18,0.18437175
2011,04,19,0.36739288
2011,04,20,0.26439712
2011,04,21,0.22850738
2011,04,22,0.28690825
2011,04,23,0.7410725
2011,04,24,0.88074538
2011,04,25,0.46122962
2011,04,26,0.252832
2011,04,27,0.57826288
2011,04,28,0.81211575
2011,04,29,0.81625212
2011,04,30,0.75816912
2012,04,1,0.340447
2012,04,2,0.458406
2012,04,3,0.81079688
2012,04,4,0.94158312
2012,04,5,0.953106
2012,04,6,0.71604962
2012,04,7,0.69956312
2012,04,8,0.47168038
2012,04,9,0.770251
2012,04,10,0.70918775
2012,04,11,0.84658838
2012,04,12,0.869667
2012,04,13,0.92351025
2012,04,14,0.95679925
2012,04,15,0.97936162
2012,04,16,0.90483025
2012,04,17,0.24454937
2012,04,18,0.87006062
2012,04,19,0.93035038
2012,04,20,0.79228762
2012,04,21,0.77969738
2012,04,22,0.71986225
2012,04,23,0.85964
2012,04,24,0.86444062
2012,04,25,0.69017138
2012,04,26,0.71440562
2012,04,27,0.638676
2012,04,28,0.30707538
2012,04,29,0.47854475
2012,04,30,0.45955437
2013,04,1,0.146283
2013,04,2,0.24292288
2013,04,3,0.37171238
2013,04,4,0.622218
2013,04,5,0.96500412
2013,04,6,0.58959388
2013,04,7,0.38470075
2013,04,8,0.77262588
2013,04,9,0.856924
2013,04,10,0.67379812
2013,04,11,0.92047912
2013,04,12,0.68557562
2013,04,13,0.38316975
2013,04,14,0.60276188
2013,04,15,0.44353775
2013,04,16,0.59706038
2013,04,17,0.727305
2013,04,18,0.56017863
2013,04,19,0.85798638
2013,04,20,0.871794
2013,04,21,0.8402675
2013,04,22,0.614378
2013,04,23,0.24791025
2013,04,24,0.3023665
2013,04,25,0.20780213
2013,04,26,0.88622038
2013,04,27,0.9351285
2013,04,28,0.71179475
2013,04,29,0.80781562
2013,04,30,0.7259485
2014,04,1,0.41540762
2014,04,2,0.61967163
2014,04,3,0.81088275
2014,04,4,0.79996925
2014,04,5,0.87985075
2014,04,6,0.56999837
2014,04,7,0.463255
2014,04,8,0.6380495
2014,04,9,0.30253287
2014,04,10,0.69104888
2014,04,11,0.53172575
2014,04,12,0.81860888
2014,04,13,0.46152563
2014,04,14,0.24631875
2014,04,15,0.143935
2014,04,16,0.09060775
2014,04,17,0.23295025
2014,04,18,0.7682595
2014,04,19,0.78804475
2014,04,20,0.62410137
2014,04,21,0.97192825
2014,04,22,0.77037888
2014,04,23,0.631374
2014,04,24,0.678577
2014,04,25,0.89048275
2014,04,26,0.87564212
2014,04,27,0.98256388
2014,04,28,0.986694
2014,04,29,0.79215962
2014,04,30,0.87814025
